Updated best error: 4135.269452270563. was found in iteration 0, time 0.29961278490020504
Epochs 0, rate 4135.269452270563, time 0.307235579762164
Updated best error: 3865.0225646205386. was found in iteration 1, time 0.3381537346593291
Epochs 1, rate 3865.0225646205386, time 0.348397744481332
Epochs 2, rate 3865.0225646205386, time 0.291729970955771
Epochs 3, rate 3865.0225646205386, time 0.30001873621452546
Epochs 4, rate 3865.0225646205386, time 0.3320799238678944
Epochs 5, rate 3865.0225646205386, time 0.3051418232500964
Epochs 6, rate 3865.0225646205386, time 0.29576042132367775
Epochs 7, rate 3865.0225646205386, time 0.36272105486742134
Epochs 8, rate 3865.0225646205386, time 0.29926341324357963
Epochs 9, rate 3865.0225646205386, time 0.290894879942897
Epochs 10, rate 3865.0225646205386, time 0.3160233590508028
Epochs 11, rate 3865.0225646205386, time 0.3120816429001252
Epochs 12, rate 3865.0225646205386, time 0.30679932895907314
Epochs 13, rate 3865.0225646205386, time 0.3878325291601641
Epochs 14, rate 3865.0225646205386, time 0.29808080564484385
Epochs 15, rate 3865.0225646205386, time 0.2878939938374572
Epochs 16, rate 3865.0225646205386, time 0.3369955521587258
Epochs 17, rate 3865.0225646205386, time 0.2876840616650327
Epochs 18, rate 3865.0225646205386, time 0.3240657090791501
Epochs 19, rate 3865.0225646205386, time 0.3395227768677671
Epochs 20, rate 3865.0225646205386, time 0.28908742268220067
Epochs 21, rate 3865.0225646205386, time 0.2880937231207952
Epochs 22, rate 3865.0225646205386, time 0.2875872888079414
Epochs 23, rate 3865.0225646205386, time 0.29302728376214304
Epochs 24, rate 3865.0225646205386, time 0.2882075007930496
Epochs 25, rate 3865.0225646205386, time 0.28847092083856296
Epochs 26, rate 3865.0225646205386, time 0.33720177418965136
Epochs 27, rate 3865.0225646205386, time 0.2907882133751798
Epochs 28, rate 3865.0225646205386, time 0.28735138564508134
Epochs 29, rate 3865.0225646205386, time 0.2887148626412852
Epochs 30, rate 3865.0225646205386, time 0.28709167574106687
Epochs 31, rate 3865.0225646205386, time 0.28618300025539156
Epochs 32, rate 3865.0225646205386, time 0.2863378986624241
Epochs 33, rate 3865.0225646205386, time 0.3294701485107794
Epochs 34, rate 3865.0225646205386, time 0.2887256838872929
Epochs 35, rate 3865.0225646205386, time 0.2852616484529733
Epochs 36, rate 3865.0225646205386, time 0.28812093082501633
Epochs 37, rate 3865.0225646205386, time 0.29749676753922927
Epochs 38, rate 3865.0225646205386, time 0.29800196513826904
Epochs 39, rate 3865.0225646205386, time 0.2876410858594909
Epochs 40, rate 3865.0225646205386, time 0.32325040548755624
Epochs 41, rate 3865.0225646205386, time 0.29954538399655917
Epochs 42, rate 3865.0225646205386, time 0.29115953670228123
Epochs 43, rate 3865.0225646205386, time 0.4050785035020681
Epochs 44, rate 3865.0225646205386, time 0.3002926683275575
Epochs 45, rate 3865.0225646205386, time 0.2978285160237988
Epochs 46, rate 3865.0225646205386, time 0.3484666912772809
Epochs 47, rate 3865.0225646205386, time 0.29069051298270665
Epochs 48, rate 3865.0225646205386, time 0.2910621454882403
Epochs 49, rate 3865.0225646205386, time 0.2917077101068628
Epochs 50, rate 3865.0225646205386, time 0.30129100556584376
Epochs 51, rate 3865.0225646205386, time 0.29942016672140426
Epochs 52, rate 3865.0225646205386, time 0.2895017218148155
Epochs 53, rate 3865.0225646205386, time 0.3248129934101769
Epochs 54, rate 3865.0225646205386, time 0.28521743593356064
Epochs 55, rate 3865.0225646205386, time 0.28586949329979916
Epochs 56, rate 3865.0225646205386, time 0.29021623322938694
Epochs 57, rate 3865.0225646205386, time 0.28973576990691186
