Updated best error: 2117.1146314302673. was found in iteration 0, time 2.828916259401012
Epochs 0, rate 2117.1146314302673, time 2.8378607838531025
Updated best error: 1996.3147512744508. was found in iteration 1, time 2.8392019987804815
Epochs 1, rate 1996.3147512744508, time 2.8480333640181925
Epochs 2, rate 2005.378470706046, time 2.843494628468761
Epochs 3, rate 1997.2412952569293, time 2.8342412350175437
Epochs 4, rate 2003.7558079448138, time 2.849144859559601
Epochs 5, rate 2024.3474583787283, time 2.836929848388536
Epochs 6, rate 2020.3482697740722, time 2.8359463526285253
Epochs 7, rate 2026.9221200140626, time 2.8627771434548777
Epochs 8, rate 2036.5765356945087, time 2.8514711161260493
Epochs 9, rate 2052.3500751179295, time 2.8586932090111077
Epochs 10, rate 2037.291886053863, time 2.83608486445155
Epochs 11, rate 2022.8863915208544, time 2.844377022993285
Epochs 12, rate 2025.8794821866825, time 2.8439899319200777
Epochs 13, rate 2020.6812188491244, time 2.837017036654288
Epochs 14, rate 2049.5934635054386, time 2.839028858987149
Epochs 15, rate 2056.8955068966675, time 2.832570436206879
Epochs 16, rate 2056.097447902562, time 2.842504021624336
Epochs 17, rate 2056.0791509707365, time 2.8417715785617474
Epochs 18, rate 2056.0650384406986, time 2.8808050133811776
Epochs 19, rate 2056.0517435057172, time 2.837292205222184
Epochs 20, rate 2056.0371262461035, time 2.8682446502207313
Epochs 21, rate 2056.018556034456, time 2.8575566700310446
Epochs 22, rate 2055.9907012859985, time 2.882528063346399
Epochs 23, rate 2055.9372258190037, time 2.8527681185514666
Epochs 24, rate 2055.757360240093, time 3.107278641575249
Epochs 25, rate 2054.6496656964446, time 2.889698832645081
Epochs 26, rate 2065.4552408124214, time 2.9321975364000537
Epochs 27, rate 2056.060033304976, time 2.8648879028332885
Epochs 28, rate 2056.0521255109247, time 2.8832663808134384
Epochs 29, rate 2056.042888849209, time 2.8813754471193533
Epochs 30, rate 2056.0281327774155, time 2.8744535662408452
Epochs 31, rate 2055.9963336770074, time 2.870581727998797
Epochs 32, rate 2055.8051797585363, time 2.8900225421821233
Epochs 33, rate 2056.2194812521802, time 2.877659125486389
Epochs 34, rate 2056.110122869911, time 2.873299404134741
Epochs 35, rate 2056.0311581676515, time 2.8933978402637877
Epochs 36, rate 2055.993215390442, time 2.8877766719378997
Epochs 37, rate 2055.6715795078258, time 2.8926323151099496
Epochs 38, rate 2057.0425510072505, time 2.8639591315877624
Epochs 39, rate 2044.193594053198, time 2.903911443951074
Epochs 40, rate 1999.6985898350015, time 2.8727598882105667
Epochs 41, rate 2088.4752400438224, time 2.904403346416075
Epochs 42, rate 2087.9378348598866, time 2.88331461258349
Epochs 43, rate 2087.8151298456173, time 2.9025621904293075
Epochs 44, rate 2090.1139845859966, time 2.880586733605014
Epochs 45, rate 2121.5502335432575, time 2.900579430803191
Epochs 46, rate 2120.2492219692704, time 2.9717173085082322
Epochs 47, rate 2120.2481829917897, time 2.9149769306532107
Epochs 48, rate 2120.247034922028, time 2.879861710796831
Epochs 49, rate 2120.245749925083, time 2.893914167827461
Epochs 50, rate 2120.2442894005044, time 2.912532258895226
Epochs 51, rate 2120.242597970902, time 2.891469496040372
Epochs 52, rate 2120.2405928853686, time 2.905046436993871
Epochs 53, rate 2120.2381441343555, time 2.896661525039235
Epochs 54, rate 2120.2350341135652, time 2.8980144887173083
Epochs 55, rate 2120.2308671648584, time 2.8953799815208185
Epochs 56, rate 2120.2248372572335, time 2.882872796995798
Epochs 57, rate 2120.2150021066354, time 2.879017963568913
Epochs 58, rate 2120.1951602592258, time 2.879915198631352
Epochs 59, rate 2120.127539416137, time 2.907437620975543
Epochs 60, rate 2104.991167894466, time 2.925488370092353
Epochs 61, rate 2088.010639683806, time 2.882674304622924
Epochs 62, rate 2088.0061463566776, time 2.882999560039025
Epochs 63, rate 2088.0002459953885, time 2.8944796546711586
Epochs 64, rate 2087.990045162525, time 2.904983983025886
Epochs 65, rate 2087.965713272705, time 2.867760168010136
Epochs 66, rate 2087.713728080601, time 2.9016714480821975
Epochs 67, rate 2085.6804715122976, time 2.8863411576894578
Epochs 68, rate 2088.982255500876, time 2.8860060085717123
Epochs 69, rate 2087.9841712971734, time 2.881344838446239
Epochs 70, rate 2087.9725982591945, time 2.896372134273406
Epochs 71, rate 2087.952998327391, time 2.8689740015252028
Epochs 72, rate 2087.9111451667954, time 2.894063500862103
Epochs 73, rate 2087.7365409889157, time 2.873168312566122
Epochs 74, rate 2104.156768225689, time 2.895452020049561
Epochs 75, rate 2101.569622457506, time 2.8800802997720893
Epochs 76, rate 2112.559026468683, time 2.913101765065221
Epochs 77, rate 2119.632432612672, time 2.8990428152901586
Epochs 78, rate 2119.7768317916434, time 2.90488226339221
Epochs 79, rate 2120.253798618335, time 2.86191082620644
Epochs 80, rate 2120.2523011687276, time 2.8861259697005153
Epochs 81, rate 2120.251473955754, time 2.9245008550351486
Epochs 82, rate 2120.2505721437437, time 2.881496644957224
Epochs 83, rate 2120.2495801621017, time 2.8791589488100726
Epochs 84, rate 2120.2484777991003, time 2.8814944807090797
Epochs 85, rate 2120.2472383006298, time 2.8794860593334306
Epochs 86, rate 2120.2458254507633, time 2.897991918696789
Epochs 87, rate 2120.244188935981, time 2.889187142776791
Epochs 88, rate 2120.2422566889895, time 2.8725725262484048
Epochs 89, rate 2120.239921637992, time 2.8850463195121847
Epochs 90, rate 2120.2370174390753, time 2.8793988710676786
Epochs 91, rate 2120.233270800965, time 2.885925003880402
Epochs 92, rate 2120.228199070918, time 2.8890390464221127
Epochs 93, rate 2120.2208625726676, time 2.8893998573475983
Epochs 94, rate 2120.209157580067, time 2.8846045039244927
Epochs 95, rate 2120.1872126896055, time 2.881815407628892
Epochs 96, rate 2120.1300893764346, time 2.8626383224327583
Epochs 97, rate 2119.4033781306944, time 2.9135658415034413
Epochs 98, rate 2118.268968137421, time 2.8803817484586034
Epochs 99, rate 2120.2694687740754, time 2.9023117561009713
