Updated best error: 24624.108082052557. was found in iteration 0, time 3.0653401686431607
Epochs 0, rate 24624.108082052557, time 3.078833013178155
Updated best error: 24405.132831779203. was found in iteration 1, time 3.04653966245678
Epochs 1, rate 24405.132831779203, time 3.0554922255596466
Updated best error: 24391.85060704326. was found in iteration 2, time 3.056367818140643
Epochs 2, rate 24391.85060704326, time 3.0658088827512984
Epochs 3, rate 24449.132592722683, time 3.052217101201677
Epochs 4, rate 24660.472045809107, time 3.0577993130682444
Epochs 5, rate 24732.4521064141, time 3.054836767838424
Epochs 6, rate 24773.706280488685, time 3.064761077932417
Epochs 7, rate 24824.524169420994, time 3.0497628448847536
Epochs 8, rate 24797.84837747219, time 3.071571036312889
Epochs 9, rate 24815.113063138244, time 3.076119665556689
Epochs 10, rate 24827.92619488095, time 3.05382513686709
Epochs 11, rate 24843.880832566727, time 3.078935660330899
Epochs 12, rate 24838.02655875408, time 3.0841511868875386
Epochs 13, rate 24854.531270958054, time 3.077245074096936
Epochs 14, rate 24888.668327501353, time 3.0613010650249635
Epochs 15, rate 24893.515276258397, time 3.0538170982326847
Epochs 16, rate 24849.49695265374, time 3.080182885070826
Epochs 17, rate 24850.20784723251, time 3.054768748641436
Epochs 18, rate 24879.108130704826, time 3.05965345455661
Epochs 19, rate 24879.03265804752, time 3.0633911094573705
Epochs 20, rate 24874.17605391244, time 3.0704326422892336
Epochs 21, rate 24880.19218728671, time 3.065245250945736
Epochs 22, rate 24871.170847943384, time 3.073676848831383
Epochs 23, rate 24895.071009810134, time 3.0818740896629606
Epochs 24, rate 24889.750930133934, time 3.0653673763245024
Epochs 25, rate 24899.644179577317, time 3.054397425657953
Epochs 26, rate 24910.255236482026, time 3.0648297154839383
Epochs 27, rate 24932.292426973498, time 3.0606341677121236
Epochs 28, rate 24902.821202980915, time 3.0823910355647968
Epochs 29, rate 24899.880615969294, time 3.082217277433301
Epochs 30, rate 24917.013862880656, time 3.0645431073207874
Epochs 31, rate 24916.483535486692, time 3.0737949548911274
Epochs 32, rate 24930.52394866454, time 3.064462102640391
Epochs 33, rate 24945.62937441696, time 3.0946929257879674
Epochs 34, rate 24931.956141867995, time 3.0732866659800493
