Updated best error: 2873.1258387300604. was found in iteration 0, time 0.29193499467510264
Epochs 0, rate 2873.1258387300604, time 0.2988958320056554
Updated best error: 2154.5201263397216. was found in iteration 1, time 0.2815061058063293
Epochs 1, rate 2154.5201263397216, time 0.2882786536210915
Epochs 2, rate 2154.5201263979397, time 0.28480658277112525
Epochs 3, rate 2154.5201263979397, time 0.288326885420247
Epochs 4, rate 2154.5201263979397, time 0.29105661949142814
Epochs 5, rate 2154.5201263979397, time 0.28163657899131067
Epochs 6, rate 2154.5201263979397, time 0.2810463578643976
Epochs 7, rate 2154.5201263979397, time 0.2852150071412325
Epochs 8, rate 2154.5201263979397, time 0.28475123988755513
Epochs 9, rate 2154.5201263979397, time 0.28365674914675765
Epochs 10, rate 2154.5201263979397, time 0.2832467789121438
Epochs 11, rate 2154.5201263979397, time 0.28682675294112414
Epochs 12, rate 2154.5201263979397, time 0.28409052614006214
Epochs 13, rate 2154.5201263979397, time 0.28284206468379125
Epochs 14, rate 2154.5201263979397, time 0.28371982149838004
Epochs 15, rate 2154.5201263979397, time 0.2881033496087184
Epochs 16, rate 2154.5201263979397, time 0.28308724297676235
Epochs 17, rate 2154.5201263979397, time 0.28986442847235594
Epochs 18, rate 2154.5201263979397, time 0.28250073197705206
Epochs 19, rate 2154.5201263979397, time 0.28241663551307283
Epochs 20, rate 2154.5201263979397, time 0.28478184853156563
Epochs 21, rate 2154.5201263979397, time 0.28771873196819797
Epochs 22, rate 2154.5201263979397, time 0.283348498531268
Epochs 23, rate 2154.5201263979397, time 0.2844841099285986
Epochs 24, rate 2154.5201263979397, time 0.28368426600354724
Epochs 25, rate 2154.5201263979397, time 0.2847227954916889
Epochs 26, rate 2154.5201263979397, time 0.28444793610833585
Epochs 27, rate 2154.5201263979397, time 0.2823034763132455
Epochs 28, rate 2154.5201263979397, time 0.28382834304647986
Epochs 29, rate 2154.5201263979397, time 0.2902178191143321
Epochs 30, rate 2154.5201263979397, time 0.2879935913661029
Epochs 31, rate 2154.5201263979397, time 0.3562610589142423
Epochs 32, rate 2154.5201263979397, time 0.2858107934735017
Epochs 33, rate 2154.5201263979397, time 0.2880810887727421
Epochs 34, rate 2154.5201263979397, time 0.28920958910021
Epochs 35, rate 2154.5201263979397, time 0.28857793810311705
Epochs 36, rate 2154.5201263979397, time 0.28703575738472864
Epochs 37, rate 2154.5201263979397, time 0.2865481834160164
Epochs 38, rate 2154.5201263979397, time 0.28535939333960414
Epochs 39, rate 2154.5201263979397, time 0.28830400624428876
Epochs 40, rate 2154.5201263979397, time 0.2835160730901407
Epochs 41, rate 2154.5201263979397, time 0.2838357633299893
Epochs 42, rate 2154.5201263979397, time 0.29323014203691855
Epochs 43, rate 2154.5201263979397, time 0.2837445557670435
Epochs 44, rate 2154.5201263979397, time 0.2831549529801123
Epochs 45, rate 2154.5201263979397, time 0.2920119800401153
Epochs 46, rate 2154.5201263979397, time 0.28501558721472975
Epochs 47, rate 2154.5201263979397, time 0.2851389493152965
Epochs 48, rate 2154.5201263979397, time 0.28408712516829837
Epochs 49, rate 2154.5201263979397, time 0.28550037858076394
Epochs 50, rate 2154.5201263979397, time 0.2866953522170661
Epochs 51, rate 2154.5201263979397, time 0.29194241494406015
Epochs 52, rate 2154.5201263979397, time 0.29006384838430677
Epochs 53, rate 2154.5201263979397, time 0.2866322798654437
Epochs 54, rate 2154.5201263979397, time 0.283790004948969
Epochs 55, rate 2154.5201263979397, time 0.2837937150761718
Epochs 56, rate 2154.5201263979397, time 0.28816796783939935
Epochs 57, rate 2154.5201263979397, time 0.2839946809108369
Epochs 58, rate 2154.5201263979397, time 0.2848937710223254
Epochs 59, rate 2154.5201263979397, time 0.2898947279318236
Epochs 60, rate 2154.5201263979397, time 0.28436167538166046
Epochs 61, rate 2154.5201263979397, time 0.2849661187065067
Epochs 62, rate 2154.5201263979397, time 0.2869380570773501
Epochs 63, rate 2154.5201263979397, time 0.2898121773469029
Epochs 64, rate 2154.5201263979397, time 0.2854487458243966
Epochs 65, rate 2154.5201263979397, time 0.2866529948078096
Epochs 66, rate 2154.5201263979397, time 0.2859066387027269
Epochs 67, rate 2154.5201263979397, time 0.2865797195699997
Epochs 68, rate 2154.5201263979397, time 0.28505670791491866
Epochs 69, rate 2154.5201263979397, time 0.28837759063753765
Epochs 70, rate 2154.5201263979397, time 0.30970531918865163
Epochs 71, rate 2154.5201263979397, time 0.28540298747248016
Epochs 72, rate 2154.5201263979397, time 0.2834956673323177
Epochs 73, rate 2154.5201263979397, time 0.28854609275003895
Epochs 74, rate 2154.5201263979397, time 0.28488325895159505
Epochs 75, rate 2154.5201263979397, time 0.28465199368656613
Epochs 76, rate 2154.5201263979397, time 0.2855637601169292
Epochs 77, rate 2154.5201263979397, time 0.2862668312736787
Epochs 78, rate 2154.5201263979397, time 0.29080247502133716
Epochs 79, rate 2154.5201263979397, time 0.28932584010181017
Epochs 80, rate 2154.5201263979397, time 0.28980939475877676
Epochs 81, rate 2154.5201263979397, time 0.2868805499310838
Epochs 82, rate 2154.5201263979397, time 0.2845836653141305
Epochs 83, rate 2154.5201263979397, time 0.2882987502089236
Epochs 84, rate 2154.5201263979397, time 0.28610234848747496
Epochs 85, rate 2154.5201263979397, time 0.2873168003279716
Epochs 86, rate 2154.5201263979397, time 0.29196498496457934
Epochs 87, rate 2154.5201263979397, time 0.28666752619028557
Epochs 88, rate 2154.5201263979397, time 0.28880672993545886
Epochs 89, rate 2154.5201263979397, time 0.28494138445239514
Epochs 90, rate 2154.5201263979397, time 0.2859236435033381
Epochs 91, rate 2154.5201263979397, time 0.2910918658017181
Epochs 92, rate 2154.5201263979397, time 0.29108846484450623
Epochs 93, rate 2154.5201263979397, time 0.284988379542483
Epochs 94, rate 2154.5201263979397, time 0.29409769596531987
Epochs 95, rate 2154.5201263979397, time 0.28981186817691196
Epochs 96, rate 2154.5201263979397, time 0.28367622738005593
Epochs 97, rate 2154.5201263979397, time 0.2877181136136642
Epochs 98, rate 2154.5201263979397, time 0.28754033616860397
Epochs 99, rate 2154.5201263979397, time 0.28547719023481477
