Updated best error: 9829.215724703487. was found in iteration 0, time 1.8571114534861408
Epochs 0, rate 9829.215724703487, time 1.8658615048625506
Updated best error: 9269.570367375698. was found in iteration 1, time 2.0251460789586417
Epochs 1, rate 9269.570367375698, time 2.034818408836145
Updated best error: 9253.358612602133. was found in iteration 2, time 1.91221349616535
Epochs 2, rate 9253.358612602133, time 1.9205362633510958
Epochs 3, rate 9263.827803137523, time 1.9283915531414095
Epochs 4, rate 9281.709651272477, time 1.9744312744878698
Epochs 5, rate 9266.609518226041, time 1.7911192280589603
Epochs 6, rate 9260.896868769774, time 1.694145804096479
Updated best error: 9249.000412778994. was found in iteration 7, time 1.7235523582203314
Epochs 7, rate 9249.000412778994, time 1.734360299538821
Updated best error: 9238.507066882225. was found in iteration 8, time 1.7083256425103173
Epochs 8, rate 9238.507066882225, time 1.7166991149133537
Epochs 9, rate 9270.259434040287, time 1.7111509126552846
Epochs 10, rate 9239.608403777229, time 1.6980933909653686
Epochs 11, rate 9248.344023344656, time 1.6888239202671684
Epochs 12, rate 9292.336234007376, time 1.6822965507162735
Epochs 13, rate 9261.03530451901, time 1.668874508002773
Updated best error: 9236.673732402762. was found in iteration 14, time 1.7068517901934683
Epochs 14, rate 9236.673732402762, time 1.7173378770239651
Epochs 15, rate 9253.196281706358, time 1.6755793457850814
Epochs 16, rate 9277.672920419927, time 1.7428936170472298
Epochs 17, rate 9247.73641652301, time 1.7232574022491463
Epochs 18, rate 9262.514879501734, time 1.7203879196604248
Epochs 19, rate 9247.541542091585, time 1.7221115879656281
Epochs 20, rate 9302.021184941696, time 1.691719373804517
Updated best error: 9235.00962272023. was found in iteration 21, time 1.711676824692404
Epochs 21, rate 9235.00962272023, time 1.720433987211436
Epochs 22, rate 9275.0995987249, time 1.6801993951958138
Updated best error: 9227.1819501735. was found in iteration 23, time 1.6842289142950904
Epochs 23, rate 9227.1819501735, time 1.69464543601498
Updated best error: 9227.037793819134. was found in iteration 24, time 1.6804813656781334
