Updated best error: 2149.4908497823803. was found in iteration 0, time 2.6509217683342285
Epochs 0, rate 2149.4908497823803, time 2.660409518837696
Updated best error: 1889.6316036498906. was found in iteration 1, time 2.645766531524714
Epochs 1, rate 1889.6316036498906, time 2.654662205837667
Epochs 2, rate 1901.9867932888687, time 2.5908144402201287
Epochs 3, rate 1900.9450610858287, time 2.6547599061450455
Epochs 4, rate 1892.9951407297385, time 2.655301586317364
Epochs 5, rate 1893.0695153859901, time 2.6293309291650075
Epochs 6, rate 1892.2436947171234, time 2.6140640202793293
Epochs 7, rate 1893.9821347659113, time 2.6435707481577992
Epochs 8, rate 1894.88503193816, time 2.6322662667371333
Updated best error: 1889.462565004642. was found in iteration 9, time 2.602621027006535
Epochs 9, rate 1889.462565004642, time 2.6026448337361217
Epochs 10, rate 1892.2846587838599, time 2.6222624978399836
Epochs 11, rate 1917.2734517522135, time 2.609907119796844
Epochs 12, rate 1934.6832275010722, time 2.676232330093626
Epochs 13, rate 1958.0488732810636, time 2.6369815430080052
Epochs 14, rate 1957.825845595682, time 2.673890305450186
Epochs 15, rate 1958.70909764149, time 2.6374518029915635
Epochs 16, rate 1956.591081109804, time 2.6059422189136967
Epochs 17, rate 1952.9138718981806, time 2.635796463058796
Epochs 18, rate 1947.5547815365248, time 2.65778737879009
Epochs 19, rate 1965.1587702726727, time 2.664027830964187
Epochs 20, rate 1947.1443454592488, time 2.643804486870067
Updated best error: 1877.5302768124263. was found in iteration 21, time 2.626359108602628
Epochs 21, rate 1877.5302768124263, time 2.635217063187156
Epochs 22, rate 1985.136738450056, time 2.6765609864960425
Epochs 23, rate 1951.0454657071439, time 2.601436874625506
Epochs 24, rate 1945.9536009995857, time 2.6216169338149484
Epochs 25, rate 1944.7605088311097, time 2.6455807154416107
Epochs 26, rate 1943.6336532719115, time 2.6354223574744537
Epochs 27, rate 1942.7727293453977, time 2.6048607137054205
Epochs 28, rate 1941.0539108401333, time 2.6623950610810425
Epochs 29, rate 1939.7282885177156, time 2.767644257110078
Epochs 30, rate 1941.8474179968632, time 2.7809475754620507
Epochs 31, rate 1938.9388476040526, time 2.703859563858714
Epochs 32, rate 1940.2669166613002, time 2.7773447222134564
Epochs 33, rate 1948.5678981699548, time 2.673879793379456
Epochs 34, rate 1947.390408898975, time 2.6524682775489055
Epochs 35, rate 1953.9435397922932, time 2.6302695940830745
Epochs 36, rate 1936.1696398846072, time 2.6153062981611583
Epochs 37, rate 1932.1934587106218, time 2.636632171663223
Epochs 38, rate 1933.6458371977526, time 2.6408305020304397
Epochs 39, rate 1934.5180075571864, time 2.6479552037781104
Epochs 40, rate 1917.086752179385, time 2.652144568011863
Epochs 41, rate 1974.2437991189697, time 2.6330883714545052
Epochs 42, rate 1933.0765379466359, time 2.6341401956160553
Epochs 43, rate 1933.2429771746995, time 2.633518438291503
Epochs 44, rate 1983.8395736069165, time 2.610281534551177
Epochs 45, rate 1929.8508933124006, time 2.6433422654808965
Epochs 46, rate 1927.4012546612707, time 2.621852836746257
Epochs 47, rate 1925.3241480148438, time 2.6414442207023967
Epochs 48, rate 1923.4000352182413, time 2.6558890248124953
Epochs 49, rate 1921.6192580416478, time 2.624105818074895
Epochs 50, rate 1919.9701820674893, time 2.667919456609525
Epochs 51, rate 1918.4416674682163, time 2.6611345416749828
Epochs 52, rate 1917.022746208664, time 2.636061737954151
Epochs 53, rate 1915.701616148452, time 2.6419831182574853
Epochs 54, rate 1914.4613588548282, time 2.6076900031184778
Epochs 55, rate 1913.2441160894307, time 2.6925665219896473
Epochs 56, rate 1905.2424130175923, time 2.6759144949319307
Epochs 57, rate 1911.2660808638952, time 2.6638228458468802
Epochs 58, rate 1910.4564150223644, time 2.651770462427521
Epochs 59, rate 1909.5933145643844, time 2.624769623595057
Epochs 60, rate 1910.0793370087538, time 2.6436468059837352
Epochs 61, rate 1877.5353412313652, time 2.609025652811397
Updated best error: 1876.7061277621428. was found in iteration 62, time 2.6123793084407225
Epochs 62, rate 1876.7061277621428, time 2.6124052793893497
Updated best error: 1876.0955640503794. was found in iteration 63, time 2.6176288446004037
Epochs 63, rate 1876.0955640503794, time 2.617651105421828
Updated best error: 1875.4785704541857. was found in iteration 64, time 2.6582084794645198
Epochs 64, rate 1875.4785704541857, time 2.6582350687822327
Epochs 65, rate 1878.9027569383882, time 2.619963139790343
Epochs 66, rate 1898.1655777236715, time 2.7006716277392115
