Updated best error: 2173.640800645401. was found in iteration 0, time 5.486265532730613
Epochs 0, rate 2173.640800645401, time 5.498491055943305
Updated best error: 1999.5108468180879. was found in iteration 1, time 5.578412685455987
Epochs 1, rate 1999.5108468180879, time 5.593315073259873
Epochs 2, rate 2048.5702762290807, time 5.546108513502986
Epochs 3, rate 2054.11177342109, time 5.562484753652825
Epochs 4, rate 2066.470586300662, time 5.575076962166349
Epochs 5, rate 2092.4775749396963, time 5.57437543690321
Epochs 6, rate 2116.6070969931384, time 5.4699202103947755
Epochs 7, rate 2139.719541340913, time 5.578735158298514
Epochs 8, rate 2113.7279139204434, time 5.586264883444528
Epochs 9, rate 2151.10158893085, time 5.561437876356649
Epochs 10, rate 2154.6025998648724, time 5.539541569160065
Epochs 11, rate 2186.977624189692, time 5.642395252754795
Epochs 12, rate 2188.436127314347, time 5.522972401828156
Epochs 13, rate 2152.02089727626, time 5.51673875155393
Epochs 14, rate 2148.273501328927, time 5.527303987997584
Epochs 15, rate 2130.5084061481534, time 5.4968106725864345
Epochs 16, rate 2224.1837041376107, time 5.992700303395395
Epochs 17, rate 2188.7821832825252, time 5.738001490855822
Epochs 18, rate 2175.604467935207, time 5.789165222027805
Epochs 19, rate 2079.3327039388587, time 5.798111292388057
Epochs 20, rate 2157.830088952879, time 5.606425155230681
Epochs 21, rate 2206.435248790905, time 5.507914806570625
Epochs 22, rate 2155.194048202946, time 5.401468472642591
Epochs 23, rate 2197.5346844368373, time 5.438998064841144
Epochs 24, rate 2198.857393793628, time 5.430541423527757
Epochs 25, rate 2197.6496349558242, time 5.52222233559587
Epochs 26, rate 2195.3230518402083, time 5.629488610022236
Epochs 27, rate 2195.605060872151, time 5.654458148244885
Epochs 28, rate 2191.6428819644957, time 6.370632896985626
Epochs 29, rate 2195.5453316707813, time 5.8841843307891395
Epochs 30, rate 2197.9229014821, time 5.682247082222602
Epochs 31, rate 2150.447046544759, time 5.8346799588471185
Epochs 32, rate 2051.8294082942543, time 5.702776203543181
Epochs 33, rate 2028.688500491057, time 5.868601441819919
Epochs 34, rate 2015.4659118406332, time 5.6696681683533825
Updated best error: 1942.365782369481. was found in iteration 35, time 5.690888302895473
Epochs 35, rate 1942.365782369481, time 5.7066291819064645
Epochs 36, rate 2114.8752343936676, time 5.774209655559389
Epochs 37, rate 2156.0630992709844, time 5.46204636991024
Epochs 38, rate 2114.619646194788, time 5.436761160788592
Epochs 39, rate 2159.579699397634, time 5.507620159769431
Epochs 40, rate 2156.0829266457754, time 6.056754600038403
Epochs 41, rate 2172.3983317922684, time 5.707753044553101
Epochs 42, rate 2182.9824257405435, time 5.533494353323476
Epochs 43, rate 2180.1102111569967, time 5.821396118757548
Epochs 44, rate 2199.3267815067215, time 5.695002845983254
Epochs 45, rate 2199.4622827445896, time 5.4796958057704614
Epochs 46, rate 2239.0989126634463, time 5.483119954020367
Epochs 47, rate 2237.3866983192784, time 5.454790576623054
Epochs 48, rate 2235.587626610369, time 5.587640107958578
Epochs 49, rate 2233.9078975529683, time 5.5075975897634635
Epochs 50, rate 2208.9928711707717, time 5.569038094152347
Epochs 51, rate 2199.5817509410276, time 6.067389710733551
Epochs 52, rate 2196.0914080390294, time 5.514485770225292
Epochs 53, rate 2195.893574764848, time 5.632673763553612
Epochs 54, rate 2192.311750414362, time 5.5964127293700585
Epochs 55, rate 2221.2395469658018, time 5.488082882002345
Epochs 56, rate 2258.3461647964987, time 6.46147779126477
Epochs 57, rate 2257.3485999848685, time 6.44405220040062
Epochs 58, rate 2257.049869756816, time 6.299828622548375
Epochs 59, rate 2255.525890666442, time 5.675956543156644
Epochs 60, rate 2215.056346683728, time 5.521852249308722
Epochs 61, rate 2196.1769472646, time 5.552266415121267
Epochs 62, rate 2220.3749782175255, time 5.7406347613286925
Epochs 63, rate 2218.8768755185, time 5.500299129882478
Epochs 64, rate 2218.6815555169305, time 5.5415762707125396
Epochs 65, rate 2217.076256479576, time 5.506172587585752
Epochs 66, rate 2241.757896124121, time 5.5484724897833075
Epochs 67, rate 2225.3434233734247, time 5.458161237023887
Epochs 68, rate 2369.804323532805, time 5.4174869936396135
Epochs 69, rate 2352.621115934664, time 5.521746819562395
Epochs 70, rate 2352.6086502393, time 5.857669829245424
Epochs 71, rate 2352.5895043155856, time 5.8105872499145335
Epochs 72, rate 2352.552942139156, time 6.081507713533938
Epochs 73, rate 2352.4185723961123, time 6.31929231590766
Epochs 74, rate 2332.210689437916, time 5.944893937979941
Epochs 75, rate 2318.3329620649847, time 5.6728517759620445
Epochs 76, rate 2318.2092177479203, time 5.635097411213792
Epochs 77, rate 2317.6436867600137, time 5.727038651297335
Epochs 78, rate 2314.6369494776836, time 5.683052491338458
Epochs 79, rate 2306.608087561094, time 5.712845827365527
Epochs 80, rate 2324.3267824720087, time 5.6834337080217665
Epochs 81, rate 2347.8703954039543, time 5.521796597255161
Epochs 82, rate 2316.8451792136693, time 5.460002702224301
Epochs 83, rate 2294.508839212262, time 5.5457393547549145
Epochs 84, rate 2284.5396405033603, time 5.496351233829046
Epochs 85, rate 2284.5206844540357, time 5.470786836798652
Epochs 86, rate 2284.4909443699667, time 5.44220455166942
Epochs 87, rate 2284.4367142372903, time 5.511203225600184
Epochs 88, rate 2284.8718309612796, time 5.44220455166942
Epochs 89, rate 2284.4597425956235, time 5.492148574950988
Epochs 90, rate 2284.40432143197, time 5.506709320892696
Epochs 91, rate 2284.1197738290944, time 5.474687119422015
Epochs 92, rate 2283.316770642185, time 5.451381578110158
Epochs 93, rate 2284.431013322307, time 5.451195143672521
Epochs 94, rate 2284.166393870709, time 5.499241431360133
Epochs 95, rate 2283.5913276507263, time 5.583606569547555
Epochs 96, rate 2283.6937388175793, time 5.464303061380633
Epochs 97, rate 2285.035126741743, time 5.480242741963593
Epochs 98, rate 2284.4344289402356, time 5.742961327065132
Epochs 99, rate 2265.205055898165, time 6.285202021652367
