Updated best error: 2221.1385533709436. was found in iteration 0, time 1.7611641918483656
Epochs 0, rate 2221.1385533709436, time 1.7699519629823044
Updated best error: 1884.1738727270126. was found in iteration 1, time 1.8193805862756562
Epochs 1, rate 1884.1738727270126, time 1.8282935745664872
Epochs 2, rate 1896.1182298307465, time 1.7747402053137193
Epochs 3, rate 1920.3827501207902, time 1.7732994350371882
Epochs 4, rate 1894.7553696025177, time 1.7665012254292378
Epochs 5, rate 1889.241211962963, time 1.7769712349909241
Epochs 6, rate 1889.8447416897727, time 1.7738003036793089
Updated best error: 1877.2594909749805. was found in iteration 7, time 1.7716499695015955
Epochs 7, rate 1877.2594909749805, time 1.7805431703964132
Epochs 8, rate 1888.28188454385, time 1.7658859608709463
Updated best error: 1862.75132112887. was found in iteration 9, time 1.7750864848640049
Epochs 9, rate 1862.75132112887, time 1.7840121494664345
Updated best error: 1845.1377661477432. was found in iteration 10, time 1.7745896355481818
Epochs 10, rate 1845.1377661477432, time 1.7845729986656806
Epochs 11, rate 1867.7334249070539, time 1.7728093876430648
Epochs 12, rate 1860.508407417892, time 1.8128210622089682
Updated best error: 1816.6567083771831. was found in iteration 13, time 1.7672645863276557
Epochs 13, rate 1816.6567083771831, time 1.7757079329821863
Updated best error: 1746.4753569500197. was found in iteration 14, time 1.7708640385899344
Epochs 14, rate 1746.4753569500197, time 1.7793679841634003
Updated best error: 1694.2198196992579. was found in iteration 15, time 1.776290424655599
Epochs 15, rate 1694.2198196992579, time 1.7876483939253376
Epochs 16, rate 1736.0029684846854, time 1.7868389654759085
Updated best error: 1667.868685488433. was found in iteration 17, time 1.7782654548136634
Epochs 17, rate 1667.868685488433, time 1.7870748684217688
Epochs 18, rate 1765.4380608875551, time 1.7678344016967458
Epochs 19, rate 1778.719716740214, time 1.8007006595653365
Epochs 20, rate 1771.0655551189625, time 1.7808517302109976
Epochs 21, rate 1859.0578453050684, time 1.7832024118397385
Epochs 22, rate 1858.9024810233607, time 1.824350625356601
Epochs 23, rate 1775.5816579858024, time 1.777422016763012
Epochs 24, rate 1817.938025561034, time 1.7719600752025144
Epochs 25, rate 1694.3014568171245, time 1.786475062770478
Epochs 26, rate 1868.3042394211332, time 1.7828255236454424
Epochs 27, rate 1871.5102071733259, time 1.818837360224279
Epochs 28, rate 1871.5625209507157, time 1.7918495069097844
Epochs 29, rate 1877.5502770760977, time 1.8221539144578855
Epochs 30, rate 1872.0143800727617, time 1.7981963163911132
Epochs 31, rate 1871.992336654377, time 1.820036043987784
Epochs 32, rate 1874.1459094697718, time 1.8160207470937166
Epochs 33, rate 1872.1971601953135, time 1.9052974896912929
Epochs 34, rate 1872.8452661492165, time 1.9640391778229969
Epochs 35, rate 1872.2814632749644, time 1.8265708338003606
Epochs 36, rate 1872.3091847268486, time 1.87434659057908
Epochs 37, rate 1890.325883770359, time 1.8231760574926739
Epochs 38, rate 1883.5401569766977, time 1.8596136324122199
Epochs 39, rate 1859.7797338923667, time 1.8516482752020238
Epochs 40, rate 1843.311978871144, time 1.8507346537080593
Epochs 41, rate 1827.2939610819358, time 1.7835242663131794
Epochs 42, rate 1805.886269466118, time 1.8255984684510622
Epochs 43, rate 1792.2167597560765, time 1.7965214982395992
Epochs 44, rate 1745.9030591612873, time 1.7915273432518006
Epochs 45, rate 1784.927241788597, time 1.7909872089949204
Epochs 46, rate 1873.7212616787838, time 1.7835533290635794
Epochs 47, rate 1910.4858515530352, time 1.7948636848959723
Epochs 48, rate 1872.1653686918871, time 1.815613559439953
Epochs 49, rate 1872.3865735411212, time 1.7830648275485146
Epochs 50, rate 1872.400873951586, time 1.8133775829192018
Epochs 51, rate 1872.4015691142492, time 1.7801217605447164
Epochs 52, rate 1872.4013946437449, time 1.7814193813246675
Epochs 53, rate 1872.4011607207037, time 1.783809019405453
Epochs 54, rate 1872.400918528003, time 1.8209546123398468
Epochs 55, rate 1872.400670680023, time 1.8273434700458893
Epochs 56, rate 1872.4004166208367, time 1.7825089252073667
Epochs 57, rate 1872.4001555381683, time 1.7847489210471394
Epochs 58, rate 1872.3998865423891, time 1.8131617765466217
Epochs 59, rate 1872.399608667373, time 1.787030655941635
Epochs 60, rate 1872.3993208579056, time 1.7841621008847142
Epochs 61, rate 1872.399021954011, time 1.783505097264424
