Updated best error: 3257.124863441484. was found in iteration 0, time 1.8073013043303945
Epochs 0, rate 3257.124863441484, time 1.81551245817991
Updated best error: 2276.601779105878. was found in iteration 1, time 1.8053980035128916
Epochs 1, rate 2276.601779105878, time 1.815347357036444
Epochs 2, rate 2283.3021576200217, time 1.8070304642524206
Epochs 3, rate 2285.571585194125, time 1.7962549866579138
Epochs 4, rate 2294.8336211455726, time 1.8088669825856414
Epochs 5, rate 2286.601309242438, time 1.8138586641462098
Updated best error: 2275.356134797475. was found in iteration 6, time 1.8139075142971706
Epochs 6, rate 2275.356134797475, time 1.8220345716845259
Epochs 7, rate 2293.0584595085757, time 1.818098424397249
Epochs 8, rate 2281.0005505880777, time 1.8075959511270412
Epochs 9, rate 2280.256951635171, time 1.8053874914548942
Epochs 10, rate 2285.598698487368, time 1.8122815462984363
Epochs 11, rate 2281.774815869901, time 1.8250499863806908
Epochs 12, rate 2286.3195167136896, time 1.8036978327536417
Epochs 13, rate 2282.439860855853, time 1.8195889723565415
Epochs 14, rate 2280.5154292375637, time 1.8095317156512465
Epochs 15, rate 2283.4012837722307, time 1.8104178202875119
Epochs 16, rate 2283.3918349413334, time 1.8170265036806086
Epochs 17, rate 2283.3833566088, time 1.8031171961501968
Epochs 18, rate 2283.373663242619, time 1.816010853390253
Epochs 19, rate 2283.3624551404314, time 1.8065478371281642
Epochs 20, rate 2283.3493220465202, time 1.81789065666635
Epochs 21, rate 2283.3336860598088, time 1.8066362620857035
Epochs 22, rate 2283.314704777563, time 1.803704325495346
Epochs 23, rate 2283.291097738723, time 1.8195939192082733
Epochs 24, rate 2283.2608137971083, time 1.818013091222383
Epochs 25, rate 2283.2203364743414, time 1.806380571738373
Epochs 26, rate 2283.163057778007, time 1.8120354404754835
Epochs 27, rate 2283.074805557251, time 1.8132610227430632
Epochs 28, rate 2282.918042714266, time 1.8131361147625285
Epochs 29, rate 2282.542335379649, time 1.821161452531669
Epochs 30, rate 2284.099348741334, time 1.8141499099820066
Epochs 31, rate 2289.41315130639, time 1.8069788314978723
Updated best error: 2275.3376530793685. was found in iteration 32, time 1.8115438471841117
Epochs 32, rate 2275.3376530793685, time 1.811569199794576
Updated best error: 2274.814861444164. was found in iteration 33, time 1.822335092866524
Epochs 33, rate 2274.814861444164, time 1.8223595179424592
Epochs 34, rate 2282.6683744050915, time 1.8052390859329535
Epochs 35, rate 2279.529339710033, time 1.8108729305549787
Epochs 36, rate 2281.9863828153775, time 1.8154929799557067
Epochs 37, rate 2283.4388480484054, time 1.8201213771662879
Epochs 38, rate 2283.4297267733737, time 1.8246758807945298
Epochs 39, rate 2283.418368275145, time 1.8162087274195073
Epochs 40, rate 2283.403764099797, time 1.8159678776246437
Epochs 41, rate 2283.384175479376, time 1.8162659253812308
Epochs 42, rate 2283.356319922674, time 1.8205644294839658
Epochs 43, rate 2283.313160098901, time 1.8237421627190997
Epochs 44, rate 2283.2363704392196, time 1.8168527455482035
Epochs 45, rate 2283.05847600116, time 1.8131231292782104
Epochs 46, rate 2282.1284362743304, time 1.8220540499096387
Epochs 47, rate 2307.980630311631, time 1.8218976057551117
Epochs 48, rate 2283.488689259965, time 1.8140079972026797
Epochs 49, rate 2283.485311065702, time 1.8180987335754253
Epochs 50, rate 2283.4813932230504, time 1.818649379897579
Epochs 51, rate 2283.4767938426376, time 1.811962474426764
Epochs 52, rate 2283.4713166812317, time 1.8136567708006623
Epochs 53, rate 2283.464682385624, time 1.8176405315261945
Epochs 54, rate 2283.4564793499794, time 1.8235470712943425
Epochs 55, rate 2283.4460750628336, time 1.819792411592971
Epochs 56, rate 2283.432445173116, time 1.8165899441037254
Epochs 57, rate 2283.413814940677, time 1.834892055079763
Epochs 58, rate 2283.3868191644497, time 1.8199624595872592
Epochs 59, rate 2283.3442086991363, time 1.8244718232017476
Epochs 60, rate 2283.2669778297127, time 1.8134786841746973
Epochs 61, rate 2283.0841592438805, time 1.8118666291948102
Epochs 62, rate 2282.0996761157357, time 1.8147221987765079
Epochs 63, rate 2276.8801119245895, time 1.819879599836895
Epochs 64, rate 2282.3424996927033, time 1.8249872232117923
Epochs 65, rate 2279.988533872559, time 1.834928538103668
Epochs 66, rate 2279.9171030069438, time 1.831900137925004
Epochs 67, rate 2299.724858071389, time 1.8169247840623939
Epochs 68, rate 2283.52862557599, time 1.8170892668495071
Epochs 69, rate 2283.5286058908323, time 1.8301115422091243
Epochs 70, rate 2283.528586072223, time 1.8222281172193107
Epochs 71, rate 2283.5285661186977, time 1.8153080914089514
Epochs 72, rate 2283.5285460286927, time 1.8185980563202975
Epochs 73, rate 2283.5285258006243, time 1.8154265066486914
Epochs 74, rate 2283.5285054327514, time 1.8155010185873834
Epochs 75, rate 2283.5284849236223, time 1.818434501068623
Epochs 76, rate 2283.52846427143, time 1.8258229318071244
Epochs 77, rate 2283.5284434745336, time 1.8166415768582738
Epochs 78, rate 2283.5284225311734, time 1.8345933889668231
Epochs 79, rate 2283.5284014396184, time 1.825892496894994
Epochs 80, rate 2283.5283801981122, time 1.8233798059036417
Epochs 81, rate 2283.5283588047937, time 1.8240312443085713
Epochs 82, rate 2283.5283372577946, time 1.8152419272801126
Epochs 83, rate 2283.5283155552474, time 1.817849535969799
Epochs 84, rate 2283.528293695266, time 1.8379955855534718
Epochs 85, rate 2283.528271675942, time 1.8187869641824363
Epochs 86, rate 2283.528249495178, time 1.8238562494652797
Epochs 87, rate 2283.5282271510096, time 1.822150822677031
Epochs 88, rate 2283.5282046414122, time 1.834775185730905
Epochs 89, rate 2283.528181964285, time 1.8225057592162557
Epochs 90, rate 2283.5281591174603, time 1.8444620469881556
Epochs 91, rate 2283.5281360988456, time 1.8298110210271261
Epochs 92, rate 2283.5281129061627, time 1.8156992017939046
Epochs 93, rate 2283.528089537155, time 1.8351925762608516
Epochs 94, rate 2283.5280659896403, time 1.8211595974626107
Epochs 95, rate 2283.5280422611886, time 1.8182224048432545
Epochs 96, rate 2283.528018349489, time 1.8631991716492848
Epochs 97, rate 2283.5279942520456, time 1.8197404696602462
Epochs 98, rate 2283.527969966473, time 1.8256633958708335
Epochs 99, rate 2283.527945490229, time 1.8508323540108904
