Updated best error: 2261.0141918965314. was found in iteration 0, time 5.400404899730347
Epochs 0, rate 2261.0141918965314, time 5.412003100442234
Updated best error: 2142.8588107549936. was found in iteration 1, time 5.4183987600845285
Epochs 1, rate 2142.8588107549936, time 5.432773689943133
Epochs 2, rate 2156.3831301743726, time 5.529890881764004
Epochs 3, rate 2144.3614255657358, time 5.395903574768454
Epochs 4, rate 2166.4333986671504, time 5.43295023063547
Updated best error: 2140.2052856432383. was found in iteration 5, time 5.410818948032102
Epochs 5, rate 2140.2052856432383, time 5.422762191592483
Epochs 6, rate 2173.7127662555395, time 5.43088337458903
Epochs 7, rate 2188.140305010521, time 5.405620117118815
Epochs 8, rate 2220.9940061971383, time 5.405809952499112
Epochs 9, rate 2201.517391578711, time 5.437484637688613
Epochs 10, rate 2181.3071791233638, time 5.395335614448413
Epochs 11, rate 2190.3176212117155, time 5.438658278028015
Epochs 12, rate 2181.769491993257, time 5.441046988591552
Epochs 13, rate 2194.4483007135377, time 5.441052244626917
Epochs 14, rate 2185.5410203475017, time 5.454990924074082
Epochs 15, rate 2149.260312456312, time 5.43235073419055
Epochs 16, rate 2144.263880867934, time 5.400413556722924
Epochs 17, rate 2212.8517490594377, time 5.436780948191881
Epochs 18, rate 2230.339875299295, time 5.468375247059157
Epochs 19, rate 2223.3592430542067, time 5.423230596497888
Epochs 20, rate 2222.6947951250863, time 5.411770598439034
Epochs 21, rate 2233.67144558569, time 5.394976040231995
Epochs 22, rate 2264.000771309669, time 5.514784127153689
Epochs 23, rate 2264.0746173490843, time 5.431143084249925
Epochs 24, rate 2263.0761796767797, time 5.428722219192423
Epochs 25, rate 2262.3681231176656, time 5.446531190973474
Epochs 26, rate 2230.980673484132, time 5.406684926711023
Epochs 27, rate 2262.748688326014, time 5.413108721579192
Epochs 28, rate 2305.0482654836183, time 5.462575064593693
Epochs 29, rate 2303.9275885529514, time 5.448911862884415
Epochs 30, rate 2193.44206682176, time 5.405424716533162
Epochs 31, rate 2344.397221975788, time 5.420995238353498
Epochs 32, rate 2383.299966866768, time 5.422254211851396
Epochs 33, rate 2356.5041811924566, time 5.430409404478269
Epochs 34, rate 2320.057677320766, time 5.469267844426213
Epochs 35, rate 2311.422048204989, time 5.417027864052216
Epochs 36, rate 2333.703732534514, time 5.471558854682371
Epochs 37, rate 2323.9411178503337, time 5.412513862771448
Epochs 38, rate 2343.6259099993463, time 5.433039583149366
Epochs 39, rate 2341.2670106856613, time 5.4418925908976234
Epochs 40, rate 2331.7345698308022, time 5.403954883484403
Epochs 41, rate 2340.941173433829, time 5.4623815190570895
Epochs 42, rate 2395.111199690942, time 5.4628165327594616
Epochs 43, rate 2419.9055698568172, time 5.493808552564587
Epochs 44, rate 2485.9541928407034, time 5.482828398991842
Epochs 45, rate 2503.048115509515, time 5.431058369431412
Epochs 46, rate 2498.2663447485884, time 5.4240230201685335
Epochs 47, rate 2479.7539862656995, time 5.437724559975322
Epochs 48, rate 2445.5301301707414, time 5.439465542236576
Epochs 49, rate 2492.415186690278, time 5.443670983717311
Epochs 50, rate 2464.2385892280136, time 5.448923611664213
Epochs 51, rate 2451.7863627168, time 5.406248057988705
Epochs 52, rate 2459.417297574823, time 5.458536579331849
Epochs 53, rate 2495.7375833538536, time 5.425856446730904
Epochs 54, rate 2494.958890755568, time 5.389663122565253
Epochs 55, rate 2494.2519829436146, time 5.380243391235126
Epochs 56, rate 2486.3972486614416, time 5.411089788103709
Epochs 57, rate 2447.8461811116126, time 5.388419607974356
Epochs 58, rate 2447.287067432128, time 5.463180126273073
Epochs 59, rate 2446.763510360312, time 5.386880209873198
Epochs 60, rate 2446.6048572433606, time 5.371523330133641
Epochs 61, rate 2445.8413528778224, time 5.349279506655876
Epochs 62, rate 2445.4197533351253, time 5.3848405614553485
Epochs 63, rate 2445.017182860371, time 5.361517087818356
Epochs 64, rate 2444.6055502884815, time 5.370615273830481
Epochs 65, rate 2442.0690661064164, time 5.404979809129145
Epochs 66, rate 2444.095577045344, time 5.348063199722674
Epochs 67, rate 2443.775401549823, time 5.367550081457011
Epochs 68, rate 2443.493743447988, time 5.373220409092028
Epochs 69, rate 2443.215149726376, time 5.343526319251396
Epochs 70, rate 2442.8771534895027, time 5.396128038089955
Epochs 71, rate 2413.594578188586, time 5.34911997069139
Epochs 72, rate 2398.552028221167, time 5.348096900153905
Epochs 73, rate 2398.3473975285146, time 5.404948582116049
Epochs 74, rate 2398.153008719738, time 5.359347584599163
Epochs 75, rate 2397.9667005178976, time 5.35425572929671
Epochs 76, rate 2397.7847124247405, time 5.352882669045357
Epochs 77, rate 2397.595945949205, time 5.354835438367445
Epochs 78, rate 2388.4636382598997, time 5.376556132367114
Epochs 79, rate 2359.8235153995397, time 5.365343786019366
Epochs 80, rate 2353.5263454887704, time 5.356014334742213
Epochs 81, rate 2391.2762900259368, time 5.361436083127046
Epochs 82, rate 2361.313889195037, time 5.349492221255787
Epochs 83, rate 2352.6340983919154, time 5.357970814220607
Epochs 84, rate 2348.789752198999, time 5.3649477288126945
Epochs 85, rate 2354.9135485561524, time 5.374395286140498
Epochs 86, rate 2405.278611107343, time 5.352830108749913
Epochs 87, rate 2440.537162062159, time 5.3618788262829185
Epochs 88, rate 2451.4648767945077, time 5.373707055550767
Epochs 89, rate 2496.007264394574, time 5.366605232964503
Epochs 90, rate 2468.4744408496363, time 5.3552942587703
Epochs 91, rate 2442.079475274757, time 5.372012449981412
Epochs 92, rate 2440.2947468132443, time 5.408001716568833
Epochs 93, rate 2416.197353333871, time 5.355225312028779
Epochs 94, rate 2395.9739929882735, time 5.372481164115015
Epochs 95, rate 2395.6159820438784, time 5.367025715269847
Epochs 96, rate 2394.1150420662866, time 5.37469704405521
Epochs 97, rate 2439.789856335993, time 5.3385343285044655
Epochs 98, rate 2440.1688410087554, time 5.3507824217376765
Epochs 99, rate 2418.5707359722924, time 5.352427249599714
