Updated best error: 2343.817507388743. was found in iteration 0, time 2.9967387886572396
Epochs 0, rate 2343.817507388743, time 3.0070993491463014
Updated best error: 1894.510115597659. was found in iteration 1, time 3.0328996491152793
Epochs 1, rate 1894.510115597659, time 3.0426925584833953
Updated best error: 1874.0765151077997. was found in iteration 2, time 3.010914607773884
Epochs 2, rate 1874.0765151077997, time 3.020389681980305
Updated best error: 1872.572004598916. was found in iteration 3, time 3.0049972467677435
Epochs 3, rate 1872.572004598916, time 3.0146528810291784
Epochs 4, rate 1908.9785782433412, time 2.9974897824286018
Epochs 5, rate 1896.0739593517376, time 3.00706224777241
Epochs 6, rate 1900.6843271936402, time 3.0250712578417733
Epochs 7, rate 1888.739617470826, time 3.020523865307041
Epochs 8, rate 1947.2972178736939, time 3.007156547115301
Epochs 9, rate 1877.311039064125, time 3.0273069251852576
Updated best error: 1861.706258621666. was found in iteration 10, time 3.0081514824632904
Epochs 10, rate 1861.706258621666, time 3.018833897425793
Updated best error: 1857.8069893476545. was found in iteration 11, time 3.0023169812120614
Epochs 11, rate 1857.8069893476545, time 3.0148312768360483
Updated best error: 1842.852626317917. was found in iteration 12, time 3.047428549696633
Epochs 12, rate 1842.852626317917, time 3.0576493616536027
Epochs 13, rate 2010.0614870871118, time 3.0130006328909076
Epochs 14, rate 1960.4361207512852, time 3.023959143953107
Epochs 15, rate 1973.5619237353933, time 3.013037425087532
Epochs 16, rate 1925.9627291620961, time 3.012233561850735
Epochs 17, rate 1961.2935651555, time 3.036569593998138
Epochs 18, rate 1954.4730315673767, time 3.0172719293113914
Epochs 19, rate 1929.9459683094535, time 3.0150059625011636
Epochs 20, rate 1926.0536170566527, time 3.01506285128562
Epochs 21, rate 1845.7891327712648, time 3.0163545976829482
Epochs 22, rate 1913.6585538572729, time 3.0300660311841057
Epochs 23, rate 1958.4848865572797, time 3.010670047842723
Epochs 24, rate 1873.4012874044008, time 3.019985276936495
Epochs 25, rate 1864.406257190564, time 3.025990753718361
Epochs 26, rate 1972.6512881965991, time 3.005913960041653
Epochs 27, rate 1929.0007950301022, time 3.0463074696526746
Updated best error: 1815.3816661143178. was found in iteration 28, time 3.0294928148578038
Epochs 28, rate 1815.3816661143178, time 3.042538278576103
Epochs 29, rate 1840.4920266984836, time 3.018536468021921
Epochs 30, rate 1910.7539897146119, time 3.022391919810616
Epochs 31, rate 1851.471481231656, time 3.0173912720856606
Updated best error: 1791.783243658794. was found in iteration 32, time 3.010213082503469
Epochs 32, rate 1791.783243658794, time 3.020210667826177
Epochs 33, rate 1812.8470467900265, time 3.010173198519624
Epochs 34, rate 1854.837149557435, time 3.0217967518401565
Epochs 35, rate 1812.7519628298423, time 3.0176831362769008
Epochs 36, rate 1941.721171954866, time 3.0127907009082264
Epochs 37, rate 1895.0938025882904, time 3.015016474557342
Epochs 38, rate 1898.2678017386493, time 3.0199435378817725
Epochs 39, rate 1882.5896840746332, time 3.0219105294017936
Epochs 40, rate 1951.9527760248386, time 3.030699228074809
Epochs 41, rate 1939.3566476394653, time 3.0310464351568953
Epochs 42, rate 1957.9333348909424, time 3.0136261003281106
Epochs 43, rate 1957.8481047150167, time 3.080312430727645
Epochs 44, rate 1957.3566135604815, time 3.0422999022048316
Epochs 45, rate 1934.2993710816015, time 3.0472581925278064
Epochs 46, rate 1929.524731291253, time 3.0239943902706727
Epochs 47, rate 1928.408898301819, time 3.0181731836783
Epochs 48, rate 1928.7481213741148, time 3.00773780207237
Epochs 49, rate 1926.6377823815421, time 3.0090978768494097
Epochs 50, rate 1936.507595361501, time 3.036338328718557
Epochs 51, rate 1946.3431335471132, time 3.0289563907281263
Epochs 52, rate 1942.465537500469, time 3.0251470064904424
Epochs 53, rate 1941.3958462740313, time 3.018924177456938
Epochs 54, rate 1940.3637821024538, time 3.0359889573956025
Epochs 55, rate 1939.3281802462168, time 3.01388797423715
Epochs 56, rate 1938.1693056041283, time 3.0190843317468534
Epochs 57, rate 1927.8975688080097, time 3.014969170297263
Epochs 58, rate 1943.5465464344886, time 3.0545578891251353
Epochs 59, rate 1910.0471039659722, time 3.037875562586123
Epochs 60, rate 1981.6798119107855, time 3.0349745438215905
Epochs 61, rate 1953.1386909022704, time 3.050106032656913
Epochs 62, rate 1898.8828340700245, time 3.021260636887746
Epochs 63, rate 1844.3541671110497, time 3.0029545065990533
Epochs 64, rate 1961.860201236709, time 3.035262697871076
Epochs 65, rate 1901.0202409909161, time 3.013419878487184
Epochs 66, rate 1937.4209820901647, time 3.0394594823519583
Epochs 67, rate 1930.8537627430912, time 3.0310804447581177
Epochs 68, rate 1974.9165864950855, time 3.016314713691827
Epochs 69, rate 1945.615166901652, time 3.074629735951021
Epochs 70, rate 1938.4811423308226, time 3.019292717835924
Epochs 71, rate 1937.7947207855539, time 3.0281602569375536
Epochs 72, rate 1937.1468550264692, time 3.046505343678291
Epochs 73, rate 1936.4165881191566, time 3.019869335126714
Epochs 74, rate 1932.7195855192185, time 3.0458662723976886
Epochs 75, rate 1940.628204534082, time 3.027636509119475
Epochs 76, rate 1938.0351601838556, time 3.018240893696202
Epochs 77, rate 1959.473300221415, time 3.0210315358635853
Epochs 78, rate 1961.1466762978455, time 3.03361137725733
Epochs 79, rate 1933.9021230107112, time 3.034373810631223
Epochs 80, rate 1933.3565125386328, time 3.0283451454815804
Epochs 81, rate 1927.2123984204588, time 3.0133574244900956
Epochs 82, rate 1933.0308355772088, time 3.033544285601238
Epochs 83, rate 1921.8351298659213, time 3.0347531722436543
Epochs 84, rate 1908.4132116140854, time 3.024855451476469
Epochs 85, rate 1806.1326634721506, time 3.0136242452572333
Epochs 86, rate 1820.4172003341903, time 3.0215781628648983
Updated best error: 1730.0842101673015. was found in iteration 87, time 3.0298585726341116
Epochs 87, rate 1730.0842101673015, time 3.043131591490237
Epochs 88, rate 1910.3057326217909, time 3.0157084153033793
Epochs 89, rate 1918.9187537124544, time 3.026746694340545
Epochs 90, rate 1917.6504468794963, time 3.0210844053290202
Epochs 91, rate 1893.3788833350816, time 3.0268366651944234
Epochs 92, rate 1757.1459416821274, time 3.0272484905144665
Epochs 93, rate 1906.1799727523867, time 3.0139510465887724
Epochs 94, rate 1879.896188416042, time 3.029743249171588
Epochs 95, rate 1874.4474497901044, time 3.0174592912808293
Updated best error: 1687.1431547551686. was found in iteration 96, time 3.018033744323475
Epochs 96, rate 1687.1431547551686, time 3.027802537799289
Epochs 97, rate 1939.5894056390734, time 3.0167256114873453
Epochs 98, rate 1918.1574522863734, time 3.0296399836588535
Epochs 99, rate 1921.6752963889599, time 3.035210137582908
