Updated best error: 2140.658800669022. was found in iteration 0, time 2.8111304759659106
Epochs 0, rate 2140.658800669022, time 2.820305647350324
Updated best error: 1892.9444274874313. was found in iteration 1, time 2.8052378492211574
Epochs 1, rate 1892.9444274874313, time 2.813973060066928
Epochs 2, rate 1898.02334922965, time 2.7965109861834208
Updated best error: 1868.421456976941. was found in iteration 3, time 2.783820459000708
Epochs 3, rate 1868.421456976941, time 2.79275725401385
Epochs 4, rate 1903.179329136794, time 2.7961984070498147
Updated best error: 1838.2351460429518. was found in iteration 5, time 2.781406395843078
Epochs 5, rate 1838.2351460429518, time 2.7902974324897514
Updated best error: 1802.3655801535285. was found in iteration 6, time 2.7918553812924074
Epochs 6, rate 1802.3655801535285, time 2.800860504685261
Epochs 7, rate 1891.851111836031, time 2.7932349342881935
Epochs 8, rate 1808.4858423513717, time 2.8255997051674058
Epochs 9, rate 1866.3744697779007, time 2.864386415822082
Epochs 10, rate 1816.0605127209005, time 2.9143904196753283
Epochs 11, rate 1949.8507851234594, time 2.886720210139174
Epochs 12, rate 1939.884069133161, time 2.8881074925884604
Epochs 13, rate 1940.8147777069973, time 2.9732273346889997
Epochs 14, rate 1936.8764265405637, time 2.8590889570477884
Epochs 15, rate 1944.387690471085, time 2.8001070374812116
Epochs 16, rate 1955.9251183387507, time 2.830223773882608
Epochs 17, rate 1928.074301286533, time 2.8963235932969837
Epochs 18, rate 1908.6405320425367, time 2.9013205308801844
Epochs 19, rate 1890.665366826875, time 2.9216452854452655
Epochs 20, rate 1854.8048216945388, time 2.941390330946888
Epochs 21, rate 1945.2374923717803, time 2.7985868084142567
Epochs 22, rate 1912.508042510823, time 2.7865171110024676
Epochs 23, rate 1924.4781806591864, time 2.8177199903147994
Epochs 24, rate 1897.275191677882, time 2.830262111972843
Epochs 25, rate 1941.4795496350519, time 2.9520721275621327
Epochs 26, rate 1943.8133529966453, time 2.9148575879007694
Epochs 27, rate 1847.7961837334678, time 2.891947176292888
Epochs 28, rate 1833.418184912109, time 2.861302672747115
Epochs 29, rate 1861.755207464306, time 2.8141452723066323
Updated best error: 1740.4927741633435. was found in iteration 30, time 2.848075721442001
Epochs 30, rate 1740.4927741633435, time 2.8572230667923577
Epochs 31, rate 1786.883300210244, time 2.9200397232125397
Epochs 32, rate 1853.38121639882, time 2.8594271979673067
Epochs 33, rate 1847.2131750500575, time 2.805932263392606
Epochs 34, rate 1892.1416556990469, time 2.8058608432329493
Epochs 35, rate 1886.1616765300973, time 2.790740175631072
Epochs 36, rate 1847.4685358345184, time 2.802757003577426
Epochs 37, rate 1859.3754522101, time 2.7983586349291727
Epochs 38, rate 1798.516405286743, time 2.8107106120151
Epochs 39, rate 1806.7842198709654, time 2.823164308720152
Epochs 40, rate 1799.402527932679, time 2.892156799091026
Epochs 41, rate 1824.4191248117406, time 2.9202830464346334
Epochs 42, rate 1852.0190632703236, time 2.827926580073836
Epochs 43, rate 1779.3747743646686, time 2.994337401803932
Epochs 44, rate 1793.8606816023466, time 2.8384720291142003
Epochs 45, rate 1759.530195735457, time 2.9582696039797156
Epochs 46, rate 1792.618033313924, time 3.0055175936286105
Epochs 47, rate 1795.4861345467552, time 3.066049423367076
Epochs 48, rate 1939.3060736335756, time 2.8738630359221133
Epochs 49, rate 1923.48600979503, time 2.9960029446156113
Epochs 50, rate 1899.421783896568, time 2.9167831495433347
Epochs 51, rate 1880.2478168981472, time 3.3012845425473643
Epochs 52, rate 1822.5356541500437, time 2.864457217627205
Epochs 53, rate 1862.7509315595323, time 2.8658321329494356
Epochs 54, rate 1814.2369955462095, time 2.8566337731972453
Epochs 55, rate 1781.9994768676488, time 2.8316667084072833
Epochs 56, rate 1896.5176077880808, time 2.827613382592972
Epochs 57, rate 1897.210803744771, time 2.928923030398437
Epochs 58, rate 1895.576774765734, time 2.8484275661976426
Epochs 59, rate 1894.046693485269, time 2.887295590720896
Epochs 60, rate 1892.6078616275315, time 3.0181877150535
Epochs 61, rate 1891.2402023630962, time 2.8467175017358386
Epochs 62, rate 1889.888435492873, time 2.8160213654482504
Epochs 63, rate 1894.8670804677463, time 2.861153648875188
Epochs 64, rate 1904.3609945214234, time 2.899131549442245
Epochs 65, rate 1905.86050611809, time 2.870479080855148
Epochs 66, rate 1883.4260267246302, time 2.8702499798237113
Epochs 67, rate 1869.9639601201175, time 2.840217958248104
Epochs 68, rate 1849.8605392441298, time 2.8835319648496807
Epochs 69, rate 1809.4070282710475, time 2.834824035882775
Epochs 70, rate 1995.1441858217763, time 2.8339815253712004
Epochs 71, rate 1954.2336854779867, time 2.8337919991463423
Epochs 72, rate 1924.0127757764687, time 2.8214029206792475
Epochs 73, rate 1938.0959094099078, time 2.8335656807248597
Epochs 74, rate 1934.4574344524428, time 2.805429230509617
Epochs 75, rate 1940.6613575719623, time 2.8452711662612273
Epochs 76, rate 1967.6538578603133, time 2.8668496383106685
Epochs 77, rate 1985.4145664358512, time 2.8730381485656835
Epochs 78, rate 1984.7399361046557, time 2.875185390956176
Epochs 79, rate 1984.0977742745306, time 2.8602285877859686
Epochs 80, rate 1983.4350867851383, time 2.872422574830125
Epochs 81, rate 1969.1782325600411, time 2.8543056615744717
Epochs 82, rate 1777.8160016318102, time 2.8198387883167015
Epochs 83, rate 1855.301898181208, time 2.8869545671987
Epochs 84, rate 1877.869177540935, time 2.862291424542491
Epochs 85, rate 1974.7784952028449, time 2.837134215173137
Epochs 86, rate 1965.3189875011826, time 2.8131942402615095
Epochs 87, rate 1964.68167732975, time 2.836162777362915
Epochs 88, rate 1964.0680876377246, time 2.857742176944157
Epochs 89, rate 1963.4771209850428, time 2.880844279017765
Epochs 90, rate 1962.9078780244658, time 2.8554319976537954
Epochs 91, rate 1962.35949354455, time 2.847564031573711
Epochs 92, rate 1961.83113437709, time 2.823853466863511
Epochs 93, rate 1961.3219979744176, time 2.907755765321781
Epochs 94, rate 1960.831311358477, time 2.8477377896997496
Epochs 95, rate 1960.358330269652, time 2.8406424598724698
Epochs 96, rate 1959.9023384151324, time 2.92468110590562
Epochs 97, rate 1959.4626467579167, time 2.859580859520065
Epochs 98, rate 1959.0385928134758, time 2.842050457264122
Epochs 99, rate 1958.6295399346689, time 2.856643666906166
