Updated best error: 10117.463058225969. was found in iteration 0, time 0.8652623175803456
Epochs 0, rate 10117.463058225969, time 0.8733222833070613
Updated best error: 9258.045835238032. was found in iteration 1, time 0.8584053641170613
Epochs 1, rate 9258.045835238032, time 0.865749273198162
Epochs 2, rate 9267.62095275057, time 0.8954093534412095
Updated best error: 9248.166968235222. was found in iteration 3, time 0.8615818606376706
Epochs 3, rate 9248.166968235222, time 0.8689876053540502
Updated best error: 9247.268645781513. was found in iteration 4, time 0.9570421666467155
Epochs 4, rate 9247.268645781513, time 0.9570675192589988
Updated best error: 9244.422148010119. was found in iteration 5, time 1.0964196858694777
Epochs 5, rate 9244.422148010119, time 1.1045640572338016
Updated best error: 9241.284939064431. was found in iteration 6, time 0.9983604281624139
Epochs 6, rate 9241.284939064431, time 1.0525432841677684
Epochs 7, rate 9276.573469894802, time 1.0246319156576646
Epochs 8, rate 9246.282043531688, time 0.9837746387966035
Epochs 9, rate 9251.495264139978, time 1.0922899930483254
Epochs 10, rate 9245.814368168009, time 0.9891042520976043
Epochs 11, rate 9255.650750858036, time 0.9214372085407376
Epochs 12, rate 9261.153489658975, time 1.0539457163504267
Epochs 13, rate 9243.77068074482, time 0.9633973239397164
Epochs 14, rate 9252.438812600647, time 0.9474894887171104
Epochs 15, rate 9251.493837855567, time 1.0899943451295258
Epochs 16, rate 9272.64907119976, time 1.247214845745475
Epochs 17, rate 9270.95975966819, time 1.0952160552478745
Epochs 18, rate 9263.577881522962, time 1.015554444576992
Epochs 19, rate 9245.318338269524, time 1.136343553836923
Updated best error: 9230.958604835298. was found in iteration 20, time 1.152798634419014
Epochs 20, rate 9230.958604835298, time 1.1745749804977095
Epochs 21, rate 9257.258099365456, time 1.2121296161458304
Epochs 22, rate 9242.826977069117, time 0.9625180212242412
Epochs 23, rate 9242.969932351241, time 0.9269860291678924
Epochs 24, rate 9267.738434800505, time 0.8905929759057472
Epochs 25, rate 9249.637456748342, time 0.882364508077444
Epochs 26, rate 9244.913293118438, time 0.9593112252368883
Epochs 27, rate 9258.390669897106, time 0.865132462749898
Epochs 28, rate 9237.630437280131, time 0.8979551264965266
Epochs 29, rate 9243.8251567322, time 0.8893080314301187
Epochs 30, rate 9248.304774919554, time 0.8899662717558385
Epochs 31, rate 9235.087985576338, time 0.8664541994257888
Epochs 32, rate 9247.525892763024, time 0.8705675058081397
Epochs 33, rate 9254.12809031375, time 0.8697688985921559
Epochs 34, rate 9260.397595800092, time 0.8649367529651499
Epochs 35, rate 9235.033738936752, time 0.8832308253113297
Epochs 36, rate 9256.452433980736, time 0.8666066242658417
Epochs 37, rate 9243.742202209227, time 0.8667482278688112
Epochs 38, rate 9245.427206910657, time 0.8696810919936979
Epochs 39, rate 9250.397072482408, time 0.864489372153912
Epochs 40, rate 9243.842900871849, time 0.867716573899088
Epochs 41, rate 9244.128920769352, time 0.8653037474578014
Epochs 42, rate 9261.268943058294, time 0.863831441005459
Epochs 43, rate 9244.580485134768, time 0.8611443735280773
Updated best error: 9224.019966006406. was found in iteration 44, time 0.8693759331363253
