Updated best error: 23440.612989085967. was found in iteration 0, time 2.680263704245135
Epochs 0, rate 23440.612989085967, time 2.689157832673118
Epochs 1, rate 23770.059667836522, time 2.6739982086219243
Epochs 2, rate 23960.927980173645, time 2.6474555718696138
Epochs 3, rate 24185.63703769881, time 2.6420301133357498
Epochs 4, rate 24152.41016560792, time 2.6611796816760034
Epochs 5, rate 24193.687690405302, time 2.650940009850274
Epochs 6, rate 24262.772162443656, time 2.663569628933601
Epochs 7, rate 24201.030308952406, time 2.653885550279938
Epochs 8, rate 24323.16941123381, time 2.6550097221074793
Epochs 9, rate 24333.66286676867, time 2.6574457369124502
Epochs 10, rate 24400.69041183969, time 2.7469246820332955
Epochs 11, rate 24391.98332247633, time 2.6656559632274366
Epochs 12, rate 24403.445723348406, time 2.674983868628715
Epochs 13, rate 24349.21107593841, time 2.662019409587174
Epochs 14, rate 24255.529407080856, time 2.6532087592649987
Epochs 15, rate 24295.015282064956, time 2.6854266705126975
Epochs 16, rate 24361.57476447481, time 2.6703196067501267
Epochs 17, rate 24408.575486058664, time 2.664345666141344
Epochs 18, rate 24391.96796043121, time 2.667992113483251
Epochs 19, rate 24433.69940523934, time 2.6737354071769914
Epochs 20, rate 24317.591187760045, time 2.6616480866046004
Epochs 21, rate 24437.506992239047, time 2.6681445383210303
Epochs 22, rate 24474.772227793917, time 2.6697476271347114
Epochs 23, rate 24440.070235741296, time 2.6723740956922484
Epochs 24, rate 24487.26654896308, time 2.6652629977729703
Epochs 25, rate 24349.582357943644, time 2.667527727871402
Epochs 26, rate 24366.08942332525, time 2.6803277041262845
Epochs 27, rate 24414.140444364686, time 2.660032321486142
Epochs 28, rate 24368.27670821633, time 2.6666444058382694
Epochs 29, rate 24334.497825786097, time 2.6656958472117367
Epochs 30, rate 24406.56513104214, time 2.695920177616699
Epochs 31, rate 24433.906928202243, time 2.6661055082872736
Epochs 32, rate 24408.92777385523, time 2.6622865395265762
Epochs 33, rate 24396.302454238485, time 2.657306915913523
Epochs 34, rate 24355.81131094329, time 2.6750923901663555
Epochs 35, rate 24282.2535455626, time 2.6721496323407337
Epochs 36, rate 24306.613938451777, time 2.662121129204934
Epochs 37, rate 24430.167435774616, time 2.672146231381248
Epochs 38, rate 24409.124966617495, time 2.725847696978235
Epochs 39, rate 24407.039060065847, time 2.719264675373779
Epochs 40, rate 24354.117502410452, time 2.7577341692276605
Epochs 41, rate 24153.77100859222, time 2.7218401295331205
Epochs 42, rate 24245.301763919662, time 2.7285647547400913
Epochs 43, rate 24316.39740525151, time 2.718891497322147
Epochs 44, rate 24277.77492004358, time 2.6688571940039765
Epochs 45, rate 24319.12858228866, time 2.6730858238406654
Epochs 46, rate 24271.65561968886, time 2.6541529893975166
Epochs 47, rate 24269.61061424984, time 2.662869031199989
Epochs 48, rate 24242.05513704787, time 2.658346991279359
Epochs 49, rate 24243.560480819815, time 2.6679225483949267
Epochs 50, rate 24298.877214211472, time 2.6628068863874432
Epochs 51, rate 24319.299065693383, time 2.665049664835351
Epochs 52, rate 24327.585739816946, time 2.685009898338649
Epochs 53, rate 24272.214984279497, time 2.664815616960368
Epochs 54, rate 24351.442032120813, time 2.692240957388094
Epochs 55, rate 24329.637872075033, time 2.665956793587611
Epochs 56, rate 24389.5268906715, time 2.672779119096049
Epochs 57, rate 24339.23268127222, time 2.681778677279908
Epochs 58, rate 24310.640914913154, time 2.6688033970021934
Epochs 59, rate 24335.74249691093, time 2.6592992600435537
Epochs 60, rate 24297.943002033157, time 2.6710495764100415
Epochs 61, rate 24318.29010563124, time 2.6666171981596563
Epochs 62, rate 24338.03957253272, time 2.686742223627334
Epochs 63, rate 24313.998680912384, time 2.723273479531599
Epochs 64, rate 24313.63703497695, time 2.742591549975259
Epochs 65, rate 24393.044302396473, time 2.737643771714829
Epochs 66, rate 24385.045895660925, time 2.752801231518788
Epochs 67, rate 24319.612259271475, time 2.732749481276187
Epochs 68, rate 24357.574186196784, time 2.7266265167891106
Epochs 69, rate 24318.78952554284, time 2.721433251061171
Epochs 70, rate 24320.349008237798, time 2.670875199922193
Epochs 71, rate 24323.709246849045, time 2.6957266320814597
Epochs 72, rate 24292.583422491374, time 2.669258816446927
Epochs 73, rate 24346.837651352904, time 2.669058468993171
Epochs 74, rate 24337.33301973124, time 2.671523237368092
Epochs 75, rate 24310.84774933242, time 2.6761296829290586
Epochs 76, rate 24283.3605894313, time 2.6665083674433845
Epochs 77, rate 24406.914545998137, time 2.6803508924886046
Epochs 78, rate 24328.194739386945, time 2.67675267694176
Epochs 79, rate 24308.24903575418, time 2.6974904935441373
Epochs 80, rate 24394.704597060278, time 2.6687016773839787
Epochs 81, rate 24342.928924045464, time 2.671876318838258
Epochs 82, rate 24337.870935701143, time 2.669850892643808
Epochs 83, rate 24315.39016804249, time 2.6767934884601345
Epochs 84, rate 24370.87174776911, time 2.673259891151247
Epochs 85, rate 24363.947618253045, time 2.666973680589763
Epochs 86, rate 24379.11495374274, time 2.6847406041524664
Epochs 87, rate 24340.565118658382, time 2.6849258018764885
Epochs 88, rate 24326.122786706885, time 2.7393473434322004
Epochs 89, rate 24378.21173494699, time 2.746269842667971
Epochs 90, rate 24356.52536478925, time 2.7297306656200817
Epochs 91, rate 24326.20087425252, time 2.7373883905447656
Epochs 92, rate 24308.770889680625, time 2.665929276729912
Epochs 93, rate 24333.149624992326, time 2.6838953110345756
Epochs 94, rate 24335.85890842771, time 2.670456572679541
Epochs 95, rate 24329.43539173854, time 2.6700657714718545
Epochs 96, rate 24346.78295941496, time 2.665620716916237
Epochs 97, rate 24325.13553275559, time 2.681337170853112
Epochs 98, rate 24404.889356023767, time 2.6783539106863827
Epochs 99, rate 24308.085309364553, time 2.680468998550168
