Updated best error: 2221.815186183602. was found in iteration 0, time 2.343575787759619
Epochs 0, rate 2221.815186183602, time 2.352318728066166
Updated best error: 1883.259351240811. was found in iteration 1, time 2.396798027199111
Epochs 1, rate 1883.259351240811, time 2.405655672599096
Epochs 2, rate 1883.4222065094104, time 2.3281165700609563
Epochs 3, rate 1892.1461974630884, time 2.4649739780143136
Updated best error: 1881.4615736281344. was found in iteration 4, time 2.3620915408537257
Epochs 4, rate 1881.4615736281344, time 2.3709637176289107
Epochs 5, rate 1900.5772707971514, time 2.3488179036430665
Epochs 6, rate 1895.692220625721, time 2.3618930484662997
Epochs 7, rate 1882.7473418828997, time 2.3579961668074247
Epochs 8, rate 1897.9332838570526, time 2.355882315663621
Epochs 9, rate 1899.5584278784845, time 2.3883593182181357
Epochs 10, rate 1892.1160807087776, time 2.3313171824847814
Epochs 11, rate 1891.0559911206255, time 2.440371434284316
Updated best error: 1855.2644855354754. was found in iteration 12, time 2.364659574741381
Epochs 12, rate 1855.2644855354754, time 2.3747029184305575
Epochs 13, rate 1921.5802308406176, time 2.395161547137832
Epochs 14, rate 1908.078167188373, time 2.4218157972063636
Epochs 15, rate 1888.0409093647943, time 2.386244539527979
Epochs 16, rate 1906.8239949365463, time 2.3963667236457695
Epochs 17, rate 1904.9427793448885, time 2.3573561680022976
Epochs 18, rate 1897.3173306575845, time 2.4142882362939417
Updated best error: 1838.7382954851657. was found in iteration 19, time 2.39258856640663
Epochs 19, rate 1838.7382954851657, time 2.4020957951433957
Epochs 20, rate 1920.5526601745637, time 2.38653114769113
Epochs 21, rate 1913.3687907596557, time 2.3927100734217674
Epochs 22, rate 1909.0792977372262, time 2.3866588382734335
Epochs 23, rate 1908.723389133213, time 2.3595343282067915
Epochs 24, rate 1909.6006378922243, time 2.4033807396263
Epochs 25, rate 1911.5273867547112, time 2.4434953705203952
Epochs 26, rate 1926.217666587546, time 2.44339736103575
Epochs 27, rate 1925.0044631591288, time 2.360395698589855
Epochs 28, rate 1924.9330712527178, time 2.368390736897709
Epochs 29, rate 1924.9251685812933, time 2.385044309870864
Epochs 30, rate 1924.9157881026877, time 2.3461583530224743
Epochs 31, rate 1924.9039988121472, time 2.3487075270386413
Epochs 32, rate 1924.8882900577075, time 2.3875038222176954
Epochs 33, rate 1924.8653766623058, time 2.3855940286593977
