Updated best error: 2202.583742701447. was found in iteration 0, time 6.837087838444859
Epochs 0, rate 2202.583742701447, time 6.850439388566883
Updated best error: 2025.432451418653. was found in iteration 1, time 6.8642036915262
Epochs 1, rate 2025.432451418653, time 6.877664072351763
Updated best error: 2019.012123544183. was found in iteration 2, time 6.849016859792755
Epochs 2, rate 2019.012123544183, time 6.8630816839431645
Epochs 3, rate 2054.0457929874106, time 6.982793307281099
Epochs 4, rate 2066.116792750633, time 6.831133376064827
Epochs 5, rate 2083.719713155616, time 6.857637983906898
Epochs 6, rate 2102.460056926698, time 6.85577580377867
Epochs 7, rate 2048.274147019805, time 6.8584016539825825
Epochs 8, rate 2183.4422810403134, time 6.863746726186946
Epochs 9, rate 2170.2383749229352, time 6.838689072188572
Epochs 10, rate 2164.5713858427, time 6.867349270221894
Epochs 11, rate 2222.6802702537734, time 6.856397251904127
Epochs 12, rate 2247.99062859672, time 6.876543610662338
Epochs 13, rate 2227.3429253627924, time 6.918946160018095
Epochs 14, rate 2301.459733438584, time 6.865393718297128
Epochs 15, rate 2216.3872096556734, time 6.911657284654211
Epochs 16, rate 2230.273004436491, time 6.872403096596827
Epochs 17, rate 2265.2892880286713, time 6.884305837811553
Epochs 18, rate 2336.3158341838603, time 6.865673833730398
Epochs 19, rate 2331.1386326328934, time 6.87421395315323
Epochs 20, rate 2351.744804561139, time 6.8691591992392205
Epochs 21, rate 2373.47636226418, time 6.890455700806342
Epochs 22, rate 2388.400284055921, time 6.88572527479846
Epochs 23, rate 2362.5414923117273, time 6.835084982260014
Epochs 24, rate 2312.9113060844757, time 6.884078282673727
Epochs 25, rate 2427.3023468614356, time 6.865233564007212
Epochs 26, rate 2434.887393651847, time 6.88968182784447
Epochs 27, rate 2468.996505864279, time 6.882556507713161
Epochs 28, rate 2453.9691351653764, time 6.880678559507942
Epochs 29, rate 2453.820037919849, time 6.868143239771598
Epochs 30, rate 2404.541716552735, time 6.865151013436844
Epochs 31, rate 2347.054178027345, time 6.872030227736104
Epochs 32, rate 2284.7105248865887, time 6.929209329391597
Epochs 33, rate 2402.9929519881443, time 6.877345618835534
Epochs 34, rate 2354.0877097125485, time 6.880598791540251
Epochs 35, rate 2346.3273392369183, time 6.902398016813095
Epochs 36, rate 2312.8577705642065, time 6.9034668457316
Epochs 37, rate 2286.7879210325864, time 6.856434044093476
Epochs 38, rate 2366.4375643258036, time 6.900375373210409
Epochs 39, rate 2344.665533473058, time 6.8728189412358915
Epochs 40, rate 2308.4904571156685, time 6.876679649052676
Epochs 41, rate 2372.15948135573, time 6.912124452879652
Epochs 42, rate 2394.4328108780214, time 6.897151263256092
Epochs 43, rate 2318.908328526399, time 6.861268353983178
Epochs 44, rate 2302.3095136012807, time 6.865540577928186
Epochs 45, rate 2305.8531684646114, time 6.899632727247081
Epochs 46, rate 2260.417605793473, time 6.899618195879157
Epochs 47, rate 2352.033235160111, time 6.892369513676385
Epochs 48, rate 2346.178913166747, time 6.90972553944448
Epochs 49, rate 2371.1068559088794, time 6.893248507214594
Epochs 50, rate 2390.8132292854457, time 6.874366377975093
Epochs 51, rate 2376.8179631439643, time 6.881394306983566
Epochs 52, rate 2299.298336666187, time 6.984828008819022
