Updated best error: 2720.3559073899755. was found in iteration 0, time 0.275187122355419
Epochs 0, rate 2720.3559073899755, time 0.2829388374448172
Updated best error: 2325.682482066636. was found in iteration 1, time 0.2788938594458159
Epochs 1, rate 2325.682482066636, time 0.2860157785980846
Epochs 2, rate 2325.682482066636, time 0.2791674821237393
Epochs 3, rate 2325.682482066636, time 0.2749598764057737
Epochs 4, rate 2325.682482066636, time 0.3057323797038407
Epochs 5, rate 2325.682482066636, time 0.277016838772397
Epochs 6, rate 2325.682482066636, time 0.28308569707587594
Epochs 7, rate 2325.682482066636, time 0.2758874109131284
Epochs 8, rate 2325.682482066636, time 0.27555288013536483
Epochs 9, rate 2325.682482066636, time 0.27510673603319447
Epochs 10, rate 2325.682482066636, time 0.2760973428921716
Epochs 11, rate 2325.682482066636, time 0.2756199717950949
Epochs 12, rate 2325.682482066636, time 0.2755129961478815
Epochs 13, rate 2325.682482066636, time 0.2759260581842682
Epochs 14, rate 2325.682482066636, time 0.27714422017743345
Epochs 15, rate 2325.682482066636, time 0.2756725320832629
Epochs 16, rate 2325.682482066636, time 0.27595604846646893
Epochs 17, rate 2325.682482066636, time 0.2762312170380028
Epochs 18, rate 2325.682482066636, time 0.27507489068375435
Epochs 19, rate 2325.682482066636, time 0.2757860004749091
Epochs 20, rate 2325.682482066636, time 0.2762135938864958
Epochs 21, rate 2325.682482066636, time 0.2767926845954207
Epochs 22, rate 2325.682482066636, time 0.2801426300757157
Epochs 23, rate 2325.682482066636, time 0.27447013818164123
Epochs 24, rate 2325.682482066636, time 0.27503284245176474
Epochs 25, rate 2325.682482066636, time 0.2750956056188443
Epochs 26, rate 2325.682482066636, time 0.27427195497148205
Epochs 27, rate 2325.682482066636, time 0.2746442054922227
Epochs 28, rate 2325.682482066636, time 0.27473572223243536
Epochs 29, rate 2325.682482066636, time 0.27497657202548
Epochs 30, rate 2325.682482066636, time 0.27419496961010736
Epochs 31, rate 2325.682482066636, time 0.2819565784011502
Epochs 32, rate 2325.682482066636, time 0.27614155536866747
Epochs 33, rate 2325.682482066636, time 0.27488845624611713
Epochs 34, rate 2325.682482066636, time 0.2744129402199178
Epochs 35, rate 2325.682482066636, time 0.2751135379548941
Epochs 36, rate 2325.682482066636, time 0.27541282242236775
Epochs 37, rate 2325.682482066636, time 0.2748593934957171
Epochs 38, rate 2325.682482066636, time 0.27495833051216323
Epochs 39, rate 2325.682482066636, time 0.27627697540810914
Epochs 40, rate 2325.682482066636, time 0.27518186633096775
Epochs 41, rate 2325.682482066636, time 0.27518866824902943
Epochs 42, rate 2325.682482066636, time 0.28183599891417543
Epochs 43, rate 2325.682482066636, time 0.2751865040008852
Epochs 44, rate 2325.682482066636, time 0.2747681859364093
Epochs 45, rate 2325.682482066636, time 0.2742265057822806
Epochs 46, rate 2325.682482066636, time 0.27534913171984954
Epochs 47, rate 2325.682482066636, time 0.27617525578898494
Epochs 48, rate 2325.682482066636, time 0.27511384712852305
Epochs 49, rate 2325.682482066636, time 0.27499543189333053
Epochs 50, rate 2325.682482066636, time 0.2762095745674742
Epochs 51, rate 2325.682482066636, time 0.29870568742626347
Epochs 52, rate 2325.682482066636, time 0.2758138265089656
Epochs 53, rate 2325.682482066636, time 0.2761727823635738
Epochs 54, rate 2325.682482066636, time 0.28061350842835964
Epochs 55, rate 2325.682482066636, time 0.2751843397563789
Epochs 56, rate 2325.682482066636, time 0.2925072834659659
Epochs 57, rate 2325.682482066636, time 0.2768894573637226
Epochs 58, rate 2325.682482066636, time 0.27691882929138956
Epochs 59, rate 2325.682482066636, time 0.2765202986265649
Epochs 60, rate 2325.682482066636, time 0.27675372814701404
Epochs 61, rate 2325.682482066636, time 0.2762355455342913
Epochs 62, rate 2325.682482066636, time 0.2763044922648987
Epochs 63, rate 2325.682482066636, time 0.27563821330841165
Epochs 64, rate 2325.682482066636, time 0.2764661924484244
Epochs 65, rate 2325.682482066636, time 0.2766433515389508
Epochs 66, rate 2325.682482066636, time 0.27901660317729693
Epochs 67, rate 2325.682482066636, time 0.28275734986164025
Epochs 68, rate 2325.682482066636, time 0.30713883120188257
Epochs 69, rate 2325.682482066636, time 0.27552598163310904
Epochs 70, rate 2325.682482066636, time 0.2758561839182221
Epochs 71, rate 2325.682482066636, time 0.27537077419037814
Epochs 72, rate 2325.682482066636, time 0.29167714007780887
Epochs 73, rate 2325.682482066636, time 0.2762785212980816
Epochs 74, rate 2325.682482066636, time 0.2765088590349478
Epochs 75, rate 2325.682482066636, time 0.27599655080848606
Epochs 76, rate 2325.682482066636, time 0.2760973428921716
Epochs 77, rate 2325.682482066636, time 0.27788964874343947
Epochs 78, rate 2325.682482066636, time 0.2842244002786174
Epochs 79, rate 2325.682482066636, time 0.27578847389668226
Epochs 80, rate 2325.682482066636, time 0.2758645317298942
Epochs 81, rate 2325.682482066636, time 0.2753559336379112
Epochs 82, rate 2325.682482066636, time 0.27686008543969365
Epochs 83, rate 2325.682482066636, time 0.27532223321759375
Epochs 84, rate 2325.682482066636, time 0.27545703489886364
Epochs 85, rate 2325.682482066636, time 0.27608775836779387
Epochs 86, rate 2325.682482066636, time 0.27800651809593546
Epochs 87, rate 2325.682482066636, time 0.2758772080342169
Epochs 88, rate 2325.682482066636, time 0.275254214022425
Epochs 89, rate 2325.682482066636, time 0.2825931762527034
Epochs 90, rate 2325.682482066636, time 0.27943337534816237
Epochs 91, rate 2325.682482066636, time 0.27646371902665123
Epochs 92, rate 2325.682482066636, time 0.27613660851784516
Epochs 93, rate 2325.682482066636, time 0.2795316940100747
Epochs 94, rate 2325.682482066636, time 0.27788315600628266
Epochs 95, rate 2325.682482066636, time 0.27679670391444233
Epochs 96, rate 2325.682482066636, time 0.27643774805619614
Epochs 97, rate 2325.682482066636, time 0.28097339181476855
Epochs 98, rate 2325.682482066636, time 0.2759897488867864
Epochs 99, rate 2325.682482066636, time 0.2827236494413228
