Updated best error: 11264.571367411758. was found in iteration 0, time 5.476957414728531
Epochs 0, rate 11264.571367411758, time 5.489568792298087
Updated best error: 10119.24446654414. was found in iteration 1, time 5.578589535369247
Epochs 1, rate 10119.24446654414, time 5.589193419080402
Epochs 2, rate 10258.641256410918, time 5.4564236557198456
Epochs 3, rate 10224.110671496042, time 5.4603644406743115
Epochs 4, rate 10251.5881605233, time 5.433385244352394
Epochs 5, rate 10223.592771174046, time 6.554184247310332
Epochs 6, rate 10334.250455638146, time 5.781136792480538
Epochs 7, rate 10219.822704014761, time 6.185342728640535
Epochs 8, rate 10208.986512798805, time 6.833980597832124
Epochs 9, rate 10206.050586978958, time 5.96144177201495
Epochs 10, rate 10273.071042658703, time 5.562490628035448
Epochs 11, rate 10270.024581890504, time 5.465537609823514
Epochs 12, rate 10166.287008707903, time 6.0823743399378145
Epochs 13, rate 10389.954560479402, time 6.019763287004025
Epochs 14, rate 10227.005875724515, time 6.064637715840945
Epochs 15, rate 10246.632662780137, time 5.533556188958755
Epochs 16, rate 10197.723079180369, time 5.6050100467473385
Epochs 17, rate 10206.038837207954, time 5.872038575544138
Epochs 18, rate 10272.950376156481, time 5.525916396371031
Epochs 19, rate 10234.90082748374, time 5.16577113209496
Epochs 20, rate 10259.39065382465, time 5.827268648929021
Epochs 21, rate 10249.899873491522, time 5.429004498852009
Epochs 22, rate 10167.302421216162, time 5.239386763649236
Epochs 23, rate 10235.032300851199, time 5.727840350285987
Epochs 24, rate 10301.405649981934, time 6.447007943716017
Epochs 25, rate 10229.447890688101, time 5.158977869330556
Epochs 26, rate 10243.254659995746, time 5.270560580218444
Epochs 27, rate 10236.947169123237, time 5.129692513037298
Epochs 28, rate 10227.185072088148, time 5.12154597742483
Epochs 29, rate 10236.935672662226, time 5.37056673286861
Epochs 30, rate 10250.09761818286, time 5.332202977937413
Epochs 31, rate 10207.68590303071, time 5.3210203126946
Epochs 32, rate 10269.266150669258, time 5.7156355420083855
Epochs 33, rate 10287.793459147493, time 5.651297728989448
Epochs 34, rate 10230.55873154543, time 5.828557303546404
Epochs 35, rate 10241.457708472766, time 5.587803663205705
Epochs 36, rate 10235.575737476998, time 5.414173840377771
Epochs 37, rate 10243.01145415068, time 5.757423754344927
Epochs 38, rate 10219.567961834127, time 5.386374703535694
Epochs 39, rate 10244.101068148597, time 5.577117538101447
Epochs 40, rate 10154.223333423999, time 5.6874882705524215
Epochs 41, rate 10205.033299159215, time 5.98569927290373
Epochs 42, rate 10245.459979148562, time 5.454290326342743
Epochs 43, rate 10219.062301609512, time 5.489623516834399
Epochs 44, rate 10239.8670182933, time 7.091296294405765
Epochs 45, rate 10284.886684922318, time 5.703982307590195
Epochs 46, rate 10265.907864788993, time 5.340751135998289
Epochs 47, rate 10259.715900401454, time 5.23862834960164
Epochs 48, rate 10224.741262733045, time 5.244190155703109
Epochs 49, rate 10229.33609548745, time 5.155501469991577
Epochs 50, rate 10261.872580962303, time 5.37277179157536
Epochs 51, rate 10214.020849780305, time 5.183684296935098
Epochs 52, rate 10229.886586581708, time 5.171284706404549
Epochs 53, rate 10238.65856597788, time 5.969981891430507
Epochs 54, rate 10244.098102941025, time 5.806291219247214
Epochs 55, rate 10192.816438804904, time 5.6054982390778605
Epochs 56, rate 10236.972183208962, time 5.593075151009543
Epochs 57, rate 10248.713330216224, time 5.388926660154539
Epochs 58, rate 10331.93664025022, time 5.167331554323027
Epochs 59, rate 10253.44075565079, time 5.323019458744966
Epochs 60, rate 10243.34796076104, time 5.402382403306547
Epochs 61, rate 10265.675057698938, time 5.243105867863051
Epochs 62, rate 10232.328572704335, time 5.370631351099291
Epochs 63, rate 10248.207165491047, time 5.257232218471472
Epochs 64, rate 10215.051956247571, time 5.457154243733385
Epochs 65, rate 10234.405406523103, time 5.525796435234952
Epochs 66, rate 10227.098665596388, time 5.21729969351145
Epochs 67, rate 10216.785401053607, time 5.280154688029143
Epochs 68, rate 10207.579496789673, time 5.465078789420659
Epochs 69, rate 10281.928311378872, time 5.241633561410708
Epochs 70, rate 10240.0602894698, time 5.516280858682876
Epochs 71, rate 10245.343597489255, time 5.276925012854917
Epochs 72, rate 10241.772285463392, time 5.362439366297622
Epochs 73, rate 10194.196724343348, time 5.239161063589563
Epochs 74, rate 10258.519138160118, time 5.29007126866054
Epochs 75, rate 10268.551781502856, time 5.337825382965093
Epochs 76, rate 10277.333075243192, time 5.318549979114323
Epochs 77, rate 10228.6612731378, time 5.13828148261382
Epochs 78, rate 10232.704618711408, time 5.124607150486554
Epochs 79, rate 10254.32168805175, time 5.131499350260128
Epochs 80, rate 10216.69615021308, time 5.129152687950409
Epochs 81, rate 10231.396662273557, time 5.1410693421712494
Epochs 82, rate 10242.252436145083, time 5.127454990615661
Epochs 83, rate 10291.86021369598, time 5.151418463072332
Epochs 84, rate 10245.627109589284, time 5.13971916110313
Epochs 85, rate 10263.276038213831, time 5.163498054185766
Epochs 86, rate 10226.926006571079, time 5.136349737396813
Epochs 87, rate 10303.254177366829, time 5.140257749473676
Epochs 88, rate 10214.906694724914, time 5.1267191465667565
Epochs 89, rate 10241.169665033633, time 5.1094812268565875
Epochs 90, rate 10197.866618617054, time 5.1321650108657195
Epochs 91, rate 10246.718385913371, time 5.129132591369853
Epochs 92, rate 10239.727278038872, time 5.149353152890399
Epochs 93, rate 10239.6910892536, time 5.381393843214028
Epochs 94, rate 10231.09269061022, time 5.287642055780452
