Updated best error: 15416.38552446142. was found in iteration 0, time 1.0995627911470365
Epochs 0, rate 15416.38552446142, time 1.1072059846992488
Updated best error: 14895.533825500383. was found in iteration 1, time 1.0920936649090436
Epochs 1, rate 14895.533825500383, time 1.0994861149629287
Updated best error: 14749.156580548814. was found in iteration 2, time 1.1208840269609937
Epochs 2, rate 14749.156580548814, time 1.1284196265078208
Updated best error: 14743.022546387108. was found in iteration 3, time 1.0848418909226893
Epochs 3, rate 14743.022546387108, time 1.0924612777525908
Epochs 4, rate 14797.763543344252, time 1.0905771459802054
Epochs 5, rate 14830.62803136818, time 1.0841045009838126
Epochs 6, rate 14816.22512664832, time 1.09313590452075
Epochs 7, rate 14906.504847497106, time 1.0845076693185547
Epochs 8, rate 14851.874279273261, time 1.086055724419566
Epochs 9, rate 14784.645111041204, time 1.088725168741803
Epochs 10, rate 14837.132492225983, time 1.0924396352820622
Epochs 11, rate 14930.780035452284, time 1.086129308823729
Updated best error: 14727.081861098935. was found in iteration 12, time 1.1133348235707672
Epochs 12, rate 14727.081861098935, time 1.1209285486147564
Epochs 13, rate 14780.1551789983, time 1.085532594952383
Epochs 14, rate 14789.362634387875, time 1.0811734919298033
Epochs 15, rate 14806.198841361424, time 1.090238905064325
Epochs 16, rate 14798.032836173557, time 1.0858813479280798
Epochs 17, rate 14766.99516571259, time 1.085901444508636
Epochs 18, rate 14828.874879361632, time 1.087175876931724
Epochs 19, rate 14832.226131980884, time 1.087716629550414
Epochs 20, rate 14834.846634542431, time 1.091007831175375
Epochs 21, rate 14805.553424926353, time 1.0880208608687099
Updated best error: 14724.540191719552. was found in iteration 22, time 1.0887230044936587
Epochs 22, rate 14724.540191719552, time 1.0963940240799275
Epochs 23, rate 14845.910897878974, time 1.1647285833059868
Epochs 24, rate 14911.046518402587, time 1.352221955297864
Epochs 25, rate 14846.34118415197, time 1.2577024784623063
Epochs 26, rate 14899.107055567241, time 1.2680052226387488
Epochs 27, rate 14806.762549212826, time 1.495546443045896
Epochs 28, rate 14840.37943420258, time 1.3627488536440069
Epochs 29, rate 14843.630062764074, time 1.2972358544029703
Epochs 30, rate 14871.342414740568, time 1.253245675139624
Epochs 31, rate 14851.500242769223, time 1.159629926096386
Epochs 32, rate 14843.363063852723, time 1.384400600916706
Epochs 33, rate 14850.497442246135, time 1.3861805396445561
Epochs 34, rate 14802.204231148697, time 1.3542439805314643
Epochs 35, rate 14784.014361532374, time 1.4382718053311692
Epochs 36, rate 14900.246455664275, time 1.4003276051880675
Epochs 37, rate 14840.1032057349, time 1.2831268177760649
Epochs 38, rate 14911.832442702378, time 1.2516181612481887
Epochs 39, rate 14771.24833505747, time 1.1462088108964963
Epochs 40, rate 14851.163745779535, time 1.1258574670064263
Epochs 41, rate 14869.142701780114, time 1.0978344851755537
Epochs 42, rate 14727.440270602985, time 1.1205123947984248
Epochs 43, rate 14785.121984631307, time 1.1312727226650168
Updated best error: 14719.763716278738. was found in iteration 44, time 1.0872973839504994
Epochs 44, rate 14719.763716278738, time 1.0948193796575652
Epochs 45, rate 14766.433037261451, time 1.0945439019087644
Epochs 46, rate 14769.360238227728, time 1.091978341450158
Epochs 47, rate 14772.402167364928, time 1.1321319287999358
Epochs 48, rate 14832.567331446271, time 1.110534596882644
Epochs 49, rate 15007.915003196475, time 1.0894962591009971
Epochs 50, rate 14878.732418324551, time 1.0932642134612252
Epochs 51, rate 14859.834593018735, time 1.0910594639281044
Epochs 52, rate 14796.21026835204, time 1.0925027076300466
Epochs 53, rate 14817.533396803767, time 1.0914886032296636
