Updated best error: 2289.1040811245543. was found in iteration 0, time 4.235143911617342
Epochs 0, rate 2289.1040811245543, time 4.245762635880965
Updated best error: 1854.9392774903981. was found in iteration 1, time 4.32591212970874
Epochs 1, rate 1854.9392774903981, time 4.336370699682448
Updated best error: 1832.9545643391805. was found in iteration 2, time 4.24452035799186
Epochs 2, rate 1832.9545643391805, time 4.255207719805185
Epochs 3, rate 1842.8788790532344, time 4.261836190606118
Epochs 4, rate 1835.9317768709072, time 4.210526218157611
Epochs 5, rate 1867.000639726309, time 4.2609380280191544
Epochs 6, rate 1881.3878970592368, time 4.240295129115111
Updated best error: 1775.4139323378204. was found in iteration 7, time 4.3154684002875
Epochs 7, rate 1775.4139323378204, time 4.326020651242288
Epochs 8, rate 1889.2972710348622, time 4.2439774411250255
Epochs 9, rate 1864.4653684077866, time 4.260860115115065
Epochs 10, rate 1852.7944734500811, time 4.246431388259225
Epochs 11, rate 1839.3663038649684, time 4.239035228070861
Epochs 12, rate 1841.0170905844113, time 4.267817860665673
Updated best error: 1761.9647331620267. was found in iteration 13, time 4.22899033849535
Epochs 13, rate 1761.9647331620267, time 4.239995226293104
Epochs 14, rate 1869.0444484462028, time 4.225566499429988
Epochs 15, rate 1871.9973632126548, time 4.269075906639046
Epochs 16, rate 1882.753496756973, time 4.260383053202531
Epochs 17, rate 1856.8811530323567, time 4.260682337670005
Epochs 18, rate 1852.5241426414987, time 4.265975158770743
Epochs 19, rate 1878.5493495552278, time 4.245475100186013
Epochs 20, rate 1824.7472373947423, time 4.268211444476037
Epochs 21, rate 1869.9421918256837, time 4.273420169112796
Epochs 22, rate 1831.6253903429092, time 4.28162946789962
Epochs 23, rate 1912.96036727146, time 4.256397746583389
Epochs 24, rate 1919.5039557342282, time 4.246473436491215
Epochs 25, rate 1888.5119222235453, time 4.232573095134285
Epochs 26, rate 1827.4185795675226, time 4.226664700297988
Epochs 27, rate 1897.9560142907962, time 4.233627392692142
Epochs 28, rate 1841.4403211869278, time 4.23217023597681
Epochs 29, rate 1871.4043291113499, time 4.246214963546663
Epochs 30, rate 1802.591272275465, time 4.238446243653016
Epochs 31, rate 1799.0920977230646, time 4.239502705466293
Epochs 32, rate 1869.6249437178844, time 4.2476928351970855
Epochs 33, rate 1852.3190622824636, time 4.238125625895918
Epochs 34, rate 1841.7361623043735, time 4.242214507197787
Epochs 35, rate 1794.7192052037528, time 4.258162844758772
