Updated best error: 2154.7380365565605. was found in iteration 0, time 2.2967757972946856
Epochs 0, rate 2154.7380365565605, time 2.3083319497527555
Updated best error: 1928.604379271896. was found in iteration 1, time 2.3190446641820017
Epochs 1, rate 1928.604379271896, time 2.327696087770164
Updated best error: 1924.7379025469304. was found in iteration 2, time 2.3145578705880325
Epochs 2, rate 1924.7379025469304, time 2.326378370402381
Epochs 3, rate 1924.9545677639112, time 2.292447612097021
Updated best error: 1924.6057465748474. was found in iteration 4, time 2.3340818536817096
Epochs 4, rate 1924.6057465748474, time 2.3341062787512783
Epochs 5, rate 1927.753318793228, time 2.316928030428244
Epochs 6, rate 1924.735135912106, time 2.3450802487204783
Updated best error: 1924.5354244020386. was found in iteration 7, time 2.3212871334690135
Epochs 7, rate 1924.5354244020386, time 2.3213103218295146
Updated best error: 1923.0944903456216. was found in iteration 8, time 2.307707100670086
Epochs 8, rate 1923.0944903456216, time 2.3172789476520848
Epochs 9, rate 1930.0846335799024, time 2.331766109185992
Epochs 10, rate 1936.60916780587, time 2.3325155570637435
Epochs 11, rate 1933.3480892685102, time 2.3288842594774906
Epochs 12, rate 1924.5927093187597, time 2.326685075153364
Epochs 13, rate 1924.6307587616793, time 2.310551539849257
Epochs 14, rate 1924.732806310116, time 2.3422766210860573
Updated best error: 1922.2545383048423. was found in iteration 15, time 2.3082234282337595
Epochs 15, rate 1922.2545383048423, time 2.3082466165942606
Epochs 16, rate 1925.8590129795296, time 2.337377692980226
Epochs 17, rate 1932.7884332456226, time 2.335829019517405
Epochs 18, rate 1942.283388010747, time 2.358624107670039
Updated best error: 1919.5717713833749. was found in iteration 19, time 2.314925483427942
Epochs 19, rate 1919.5717713833749, time 2.324018722603796
Epochs 20, rate 1958.8292410934798, time 2.3486716623592656
Epochs 21, rate 1955.550715555539, time 2.348249943344854
Epochs 22, rate 1958.508575794826, time 2.330645647511119
Epochs 23, rate 1957.1444898616242, time 2.335773058293853
Epochs 24, rate 1956.823563117866, time 2.3962473808496725
Epochs 25, rate 1960.2054909972057, time 2.3888221579254605
Epochs 26, rate 1957.8365322544828, time 2.361065378499916
Epochs 27, rate 1957.7373889564883, time 2.3244880550482776
Epochs 28, rate 1958.4485568390232, time 2.335807995405048
Epochs 29, rate 1958.032474137224, time 2.287850441847695
Epochs 30, rate 1934.1067253236536, time 2.3702798155136406
