Updated best error: 27568.53954550695. was found in iteration 0, time 3.1106236401974456
Epochs 0, rate 27568.53954550695, time 3.1212318524048897
Updated best error: 25247.29683553519. was found in iteration 1, time 3.1870623776194407
Epochs 1, rate 25247.29683553519, time 3.1982184535445413
Updated best error: 25211.35029010602. was found in iteration 2, time 3.139101113934885
Epochs 2, rate 25211.35029010602, time 3.1487573665508535
Updated best error: 25124.81782009452. was found in iteration 3, time 3.1434336276433896
Epochs 3, rate 25124.81782009452, time 3.1534333772142418
Updated best error: 25084.033970390006. was found in iteration 4, time 3.114437662094133
Epochs 4, rate 25084.033970390006, time 3.1240858760866104
Epochs 5, rate 25119.08965631785, time 3.1340593455097405
Updated best error: 25077.884947575232. was found in iteration 6, time 3.1324098799814237
Epochs 6, rate 25077.884947575232, time 3.1422027893422637
Epochs 7, rate 25083.955777278785, time 3.1439567571069347
Epochs 8, rate 25105.819428012324, time 3.1438194819929777
Updated best error: 25068.884623459217. was found in iteration 9, time 3.176692541790544
Epochs 9, rate 25068.884623459217, time 3.1869074793503387
Epochs 10, rate 25080.013241408975, time 3.1580157068674453
Epochs 11, rate 25079.43525084666, time 3.13872329822334
Epochs 12, rate 25093.155125598496, time 3.147639378294116
Epochs 13, rate 25074.589541181507, time 3.1486367870675167
Epochs 14, rate 25072.122656077547, time 3.126389871817082
Epochs 15, rate 25079.93780082031, time 3.1349575080967043
Epochs 16, rate 25136.92957744918, time 3.137182663398562
Epochs 17, rate 25112.611943485368, time 3.1413967618427705
Epochs 18, rate 25083.935816462938, time 3.1365581234858837
Epochs 19, rate 25145.59241160606, time 3.125656192016322
Epochs 20, rate 25086.960940352063, time 3.133777375027421
Epochs 21, rate 25071.61079733726, time 3.160788107517874
Epochs 22, rate 25089.157085927724, time 3.143826902261935
Epochs 23, rate 25077.118730004386, time 3.1433288162370445
Epochs 24, rate 25099.60492438396, time 3.1464122501347447
Epochs 25, rate 25087.355865979545, time 3.1682105478539597
Epochs 26, rate 25126.67335667352, time 3.1311187519313535
Epochs 27, rate 25080.980731226926, time 3.163178982315003
Epochs 28, rate 25071.60147178564, time 3.14719756267732
Epochs 29, rate 25094.433621350752, time 3.1436002746631857
