Updated best error: 2061.553881869279. was found in iteration 0, time 1.9057145710394252
Epochs 0, rate 2061.553881869279, time 1.9138812032178976
Updated best error: 1906.9596478661329. was found in iteration 1, time 1.9326866562769283
Epochs 1, rate 1906.9596478661329, time 1.9407008636335377
Updated best error: 1906.0105285084067. was found in iteration 2, time 1.9025192146364134
Epochs 2, rate 1906.0105285084067, time 1.9025433305359911
Epochs 3, rate 1910.4702391695303, time 1.9151067854836583
Epochs 4, rate 1935.7297822787616, time 1.9149899161420763
Epochs 5, rate 1935.474610394328, time 1.9126642779738177
Epochs 6, rate 1933.2652263647572, time 1.9228940560715273
Epochs 7, rate 1958.998633372542, time 1.9082405566878151
Epochs 8, rate 1963.9648843412347, time 1.9174809646501672
Epochs 9, rate 1963.6961916032283, time 1.912970055185724
Epochs 10, rate 1965.2363211144723, time 1.9168310721579473
Epochs 11, rate 1963.5706276922228, time 1.9273366372217424
Epochs 12, rate 1973.6221435053005, time 1.9162983581481967
Epochs 13, rate 1964.1080082484445, time 1.9137460923811886
Epochs 14, rate 1963.911254659556, time 1.9129023451532703
Epochs 15, rate 1963.9011089118296, time 1.9176667807623744
Epochs 16, rate 1963.8890234349533, time 1.9220592750352807
Epochs 17, rate 1963.8732942319336, time 1.9266295467386954
Epochs 18, rate 1963.8501514596883, time 1.9296931932331063
Epochs 19, rate 1963.8087054803527, time 1.9209165524807759
Epochs 20, rate 1963.6905231016965, time 1.929196653101826
Epochs 21, rate 1959.6464325047937, time 1.9120743660023436
Epochs 22, rate 1963.6573639437522, time 1.9594689061050303
Epochs 23, rate 1962.272221693208, time 1.9759879865450785
Epochs 24, rate 1962.9478823466725, time 1.9103772870148532
Epochs 25, rate 1963.6661835999298, time 1.9214545224967878
Epochs 26, rate 1976.7814229493495, time 1.9143508448614739
Epochs 27, rate 1975.484492310733, time 1.9227128776547033
Epochs 28, rate 1933.933781307949, time 1.9161286193702836
Updated best error: 1869.2566939852684. was found in iteration 29, time 1.925475693802582
Epochs 29, rate 1869.2566939852684, time 1.9335573019925505
Epochs 30, rate 1909.4865779023032, time 1.9188976190635003
Epochs 31, rate 1980.0789651011823, time 1.9281905873212963
Epochs 32, rate 1992.2906462736673, time 1.9148946892819367
Epochs 33, rate 1993.66019217815, time 1.934186788770603
Epochs 34, rate 1993.654533193278, time 1.9192324590112548
Epochs 35, rate 1993.6472782003807, time 1.9325085696473252
Epochs 36, rate 1993.637378266472, time 1.9319347349519376
Epochs 37, rate 1993.622322740677, time 2.148089232534403
Epochs 38, rate 1993.5947091345845, time 1.948937370092608
Epochs 39, rate 1993.5172973511264, time 1.9301436658133753
Epochs 40, rate 1993.8520969524227, time 1.9300645162002183
Epochs 41, rate 1993.7858181619222, time 1.9369134310400113
Epochs 42, rate 1993.6405908263382, time 1.9264155954297166
Epochs 43, rate 1993.62544388704, time 1.9298323233961128
Epochs 44, rate 1993.5962573566082, time 1.930203028023243
Epochs 45, rate 1993.5033827042214, time 1.9246263813693076
Epochs 46, rate 2006.1499687010607, time 1.9262220499222167
Epochs 47, rate 2024.0194635443092, time 1.9293422760092653
Epochs 48, rate 2024.4726596764986, time 1.9200672400766052
Epochs 49, rate 2024.4035659620595, time 1.9246056664269418
Epochs 50, rate 2023.7019463918232, time 1.9193892123294063
Epochs 51, rate 2046.0194336273141, time 1.948075072170468
Epochs 52, rate 2056.0667189018427, time 1.9227209163072985
Epochs 53, rate 2056.0645639154404, time 1.9382691773353145
Epochs 54, rate 2056.062427693723, time 1.9989385913359001
Epochs 55, rate 2056.059781775583, time 1.9468099150981288
Epochs 56, rate 2056.05639363851, time 1.9299884583742823
Epochs 57, rate 2056.0518639675342, time 1.9474984548869543
Epochs 58, rate 2056.0454441531615, time 1.9470680788508616
