Updated best error: 2097.3623504350876. was found in iteration 0, time 2.568825688751531
Epochs 0, rate 2097.3623504350876, time 2.577527508357889
Updated best error: 1892.7610731626874. was found in iteration 1, time 2.6339296452715644
Epochs 1, rate 1892.7610731626874, time 2.6427783245089813
Epochs 2, rate 1900.6611477013885, time 2.590418382991629
Updated best error: 1887.5284150920374. was found in iteration 3, time 2.629420590834343
Epochs 3, rate 1887.5284150920374, time 2.6389547180733643
Updated best error: 1869.2659158041126. was found in iteration 4, time 2.6407692847569706
Epochs 4, rate 1869.2659158041126, time 2.6498575770747266
Epochs 5, rate 1920.8638962122598, time 2.5763105830774293
Epochs 6, rate 1926.261423232804, time 2.6159487704135245
Updated best error: 1868.7317124198805. was found in iteration 7, time 2.630324009449396
Epochs 7, rate 1868.7317124198805, time 2.6303481253489736
Epochs 8, rate 1881.8945084551947, time 2.604546279493661
Updated best error: 1798.5869074982618. was found in iteration 9, time 2.610925552682602
Epochs 9, rate 1798.5869074982618, time 2.6199207823738107
Epochs 10, rate 1866.135580057305, time 2.5786745593650267
Epochs 11, rate 1833.6395096380063, time 2.5954487118287943
Epochs 12, rate 1836.7227647077418, time 2.588018542031932
Epochs 13, rate 1899.7945218321818, time 2.5779124351756764
Epochs 14, rate 1813.329139271144, time 2.6323627302990644
Updated best error: 1760.2016742829562. was found in iteration 15, time 2.595631126940134
Epochs 15, rate 1760.2016742829562, time 2.605123205954442
Updated best error: 1721.1543740433672. was found in iteration 16, time 2.6158139687322546
Epochs 16, rate 1721.1543740433672, time 2.624485798056412
Updated best error: 1661.2385772897424. was found in iteration 17, time 2.5933936045257724
Epochs 17, rate 1661.2385772897424, time 2.6023096846038243
Epochs 18, rate 1827.8288296216037, time 2.591351173527073
Epochs 19, rate 1765.0694498233356, time 2.6640621497645043
Epochs 20, rate 1802.1862905894375, time 2.5749483440595213
Epochs 21, rate 1801.5405756135456, time 2.6471399009606102
Epochs 22, rate 1947.1171891073852, time 2.62824756885675
Epochs 23, rate 1945.326244359796, time 2.58088301904354
Epochs 24, rate 1949.3641955470434, time 2.609773554817366
Epochs 25, rate 1883.9353733869507, time 2.6152438441858976
Epochs 26, rate 1842.5645305859452, time 2.625667477019306
Epochs 27, rate 1890.793936513908, time 2.625403748046665
Epochs 28, rate 1885.689453306161, time 2.6218481990799773
Epochs 29, rate 1871.8161886781897, time 2.6128770852883463
Epochs 30, rate 1903.4361672023979, time 2.619115682413394
Epochs 31, rate 1911.4755457267088, time 2.594218491882202
Epochs 32, rate 1766.6470444462532, time 2.634366514022986
Epochs 33, rate 1700.604504819501, time 2.613786687463289
Epochs 34, rate 1686.8563821546443, time 2.592306843260303
Epochs 35, rate 1907.6101074107528, time 2.610016568854917
Epochs 36, rate 1680.83369805601, time 2.6133757896750467
Updated best error: 1659.4454206268272. was found in iteration 37, time 2.699734508707479
